asset,start,end,risk_on_days,risk_on_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2mo,best_excluded,top_block_pct,sharpe,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,853,0.27252396166134185,11,10800.28532899839,46344.780518358595,39941.66037721917,84689.48713366143,100296.69144976731,10449.690699949768,11685.499228409328,6829.401569650001,4.608028726893729,0.22202601530054328,-0.7962834329850841,17028.630419036985,15032.99363290963,3
ETH,2018-01-01,2026-07-27,853,0.27252396166134185,11,9745.546701017409,25741.27110993787,34753.85778180409,127304.60327323966,29421.62808193879,9429.190583892863,11592.675938449585,5931.865130850695,15.784624035983066,0.24401734930032154,-0.8634131283847548,15599.728461896915,8268.923793334221,3
SOL,2020-08-11,2026-07-27,549,0.2521819016995866,6,57550.943466564,259570.99438561453,40615.94868993892,904985.4845900396,5771.954245323602,56524.28870673722,100046.68613953497,33787.5342306295,0.5225869446562585,0.8107079081444646,-0.5806491952051736,16288.721651438547,7272.683189136861,3
XRP,2018-05-04,2026-07-27,820,0.2726970402394413,11,5354.345052882807,21258.129805292065,22385.074054116783,37077.29762569797,3121.4887534804684,5180.534402475865,5454.06099070112,3451.7510726746236,0.42152493490772336,-0.038979398777301937,-0.9211318401102032,15452.801936814056,17268.992530700296,3
