signal_time,entry_time,exit_time,asset,funding_rate,mark_price,source_symbol
2021-01-02 00:00:00+00:00,2021-01-02 01:00:00+00:00,2021-01-02 09:00:00+00:00,ETH,0.00025572000000000002,,ETHUSDT
2021-01-03 08:00:00+00:00,2021-01-03 09:00:00+00:00,2021-01-03 17:00:00+00:00,AVAX,0.00024361000000000001,,AVAXUSDT
2021-01-04 16:00:00+00:00,2021-01-04 17:00:00+00:00,2021-01-05 01:00:00+00:00,AVAX,0.00030669999999999997,,AVAXUSDT
2021-01-07 08:00:00+00:00,2021-01-07 09:00:00+00:00,2021-01-07 17:00:00+00:00,ADA,0.00033691999999999999,,ADAUSDT
2021-01-08 16:00:00+00:00,2021-01-08 17:00:00+00:00,2021-01-09 01:00:00+00:00,SOL,0.00012872,,SOLUSDT
2021-01-10 16:00:00+00:00,2021-01-10 17:00:00+00:00,2021-01-11 01:00:00+00:00,DOGE,0.00014739000000000001,,DOGEUSDT
2021-01-12 00:00:00+00:00,2021-01-12 01:00:00+00:00,2021-01-12 09:00:00+00:00,BTC,0.00033525999999999999,,BTCUSDT
2021-01-13 08:00:00+00:00,2021-01-13 09:00:00+00:00,2021-01-13 17:00:00+00:00,SOL,0.00028285000000000002,,SOLUSDT
2021-01-15 08:00:00+00:00,2021-01-15 09:00:00+00:00,2021-01-15 17:00:00+00:00,ADA,0.00039048000000000002,,ADAUSDT
2021-01-16 16:00:00+00:00,2021-01-16 17:00:00+00:00,2021-01-17 01:00:00+00:00,DOGE,0.00027981000000000002,,DOGEUSDT
2021-01-18 00:00:00+00:00,2021-01-18 01:00:00+00:00,2021-01-18 09:00:00+00:00,ADA,0.00043289000000000001,,ADAUSDT
2021-01-21 00:00:00+00:00,2021-01-21 01:00:00+00:00,2021-01-21 09:00:00+00:00,BTC,0.00042077999999999999,,BTCUSDT
2021-01-23 00:00:00+00:00,2021-01-23 01:00:00+00:00,2021-01-23 09:00:00+00:00,ETH,0.00015431,,ETHUSDT
2021-01-25 16:00:00+00:00,2021-01-25 17:00:00+00:00,2021-01-26 01:00:00+00:00,BTC,0.00042413999999999999,,BTCUSDT
2021-01-27 00:00:00+00:00,2021-01-27 01:00:00+00:00,2021-01-27 09:00:00+00:00,ADA,0.00045361000000000002,,ADAUSDT
2021-01-28 08:00:00+00:00,2021-01-28 09:00:00+00:00,2021-01-28 17:00:00+00:00,LINK,0.00036374999999999998,,LINKUSDT
2021-01-29 16:00:00+00:00,2021-01-29 17:00:00+00:00,2021-01-30 01:00:00+00:00,AVAX,0.0001,,AVAXUSDT
2021-01-31 08:00:00+00:00,2021-01-31 09:00:00+00:00,2021-01-31 17:00:00+00:00,BTC,0.00046117,,BTCUSDT
2021-02-01 16:00:00+00:00,2021-02-01 17:00:00+00:00,2021-02-02 01:00:00+00:00,ADA,0.00049631000000000002,,ADAUSDT
2021-02-05 16:00:00+00:00,2021-02-05 17:00:00+00:00,2021-02-06 01:00:00+00:00,BNB,0.00028044000000000002,,BNBUSDT
2021-02-07 00:00:00+00:00,2021-02-07 01:00:00+00:00,2021-02-07 09:00:00+00:00,ADA,0.00028438999999999998,,ADAUSDT
2021-02-11 00:00:00+00:00,2021-02-11 01:00:00+00:00,2021-02-11 09:00:00+00:00,AVAX,0.0001,,AVAXUSDT
2021-02-13 16:00:00+00:00,2021-02-13 17:00:00+00:00,2021-02-14 01:00:00+00:00,BNB,0.00034259999999999998,,BNBUSDT
2021-02-15 16:00:00+00:00,2021-02-15 17:00:00+00:00,2021-02-16 01:00:00+00:00,ADA,0.0001,,ADAUSDT
2021-02-22 16:00:00+00:00,2021-02-22 17:00:00+00:00,2021-02-23 01:00:00+00:00,ETH,0.00034567000000000002,,ETHUSDT
2021-02-25 08:00:00+00:00,2021-02-25 09:00:00+00:00,2021-02-25 17:00:00+00:00,BNB,0.00028644,,BNBUSDT
2021-02-27 08:00:00+00:00,2021-02-27 09:00:00+00:00,2021-02-27 17:00:00+00:00,ADA,0.0004529,,ADAUSDT
2021-02-28 16:00:00+00:00,2021-02-28 17:00:00+00:00,2021-03-01 01:00:00+00:00,BTC,0.00037706000000000003,,BTCUSDT
2021-03-02 00:00:00+00:00,2021-03-02 01:00:00+00:00,2021-03-02 09:00:00+00:00,ETH,0.00049538000000000002,,ETHUSDT
2021-03-03 16:00:00+00:00,2021-03-03 17:00:00+00:00,2021-03-04 01:00:00+00:00,BNB,0.00046789999999999999,,BNBUSDT
2021-03-05 00:00:00+00:00,2021-03-05 01:00:00+00:00,2021-03-05 09:00:00+00:00,LINK,0.00048219000000000002,,LINKUSDT
2021-03-06 08:00:00+00:00,2021-03-06 09:00:00+00:00,2021-03-06 17:00:00+00:00,XRP,0.00031328999999999998,,XRPUSDT
2021-03-08 00:00:00+00:00,2021-03-08 01:00:00+00:00,2021-03-08 09:00:00+00:00,SOL,0.00049450000000000004,,SOLUSDT
2021-03-09 08:00:00+00:00,2021-03-09 09:00:00+00:00,2021-03-09 17:00:00+00:00,BTC,0.00041975999999999998,,BTCUSDT
2021-03-11 00:00:00+00:00,2021-03-11 01:00:00+00:00,2021-03-11 09:00:00+00:00,DOGE,0.00049405,,DOGEUSDT
2021-03-13 00:00:00+00:00,2021-03-13 01:00:00+00:00,2021-03-13 09:00:00+00:00,XRP,0.00049213999999999996,,XRPUSDT
2021-03-17 08:00:00+00:00,2021-03-17 09:00:00+00:00,2021-03-17 17:00:00+00:00,LINK,0.00042221000000000001,,LINKUSDT
2021-03-18 16:00:00+00:00,2021-03-18 17:00:00+00:00,2021-03-19 01:00:00+00:00,ETH,0.00038026999999999999,,ETHUSDT
2021-03-20 00:00:00+00:00,2021-03-20 01:00:00+00:00,2021-03-20 09:00:00+00:00,BTC,0.00049280000000000005,,BTCUSDT
2021-03-21 08:00:00+00:00,2021-03-21 09:00:00+00:00,2021-03-21 17:00:00+00:00,BTC,0.00042374999999999997,,BTCUSDT
2021-03-22 16:00:00+00:00,2021-03-22 17:00:00+00:00,2021-03-23 01:00:00+00:00,BTC,0.00048977000000000005,,BTCUSDT
2021-03-24 08:00:00+00:00,2021-03-24 09:00:00+00:00,2021-03-24 17:00:00+00:00,DOGE,0.00036937999999999999,,DOGEUSDT
2021-03-25 16:00:00+00:00,2021-03-25 17:00:00+00:00,2021-03-26 01:00:00+00:00,ETH,0.00035938000000000002,,ETHUSDT
2021-03-27 08:00:00+00:00,2021-03-27 09:00:00+00:00,2021-03-27 17:00:00+00:00,ADA,0.00042569,,ADAUSDT
2021-03-29 08:00:00+00:00,2021-03-29 09:00:00+00:00,2021-03-29 17:00:00+00:00,LINK,0.00049072000000000005,,LINKUSDT
2021-03-31 16:00:00+00:00,2021-03-31 17:00:00+00:00,2021-04-01 01:00:00+00:00,BNB,0.00039336999999999998,,BNBUSDT
2021-04-02 00:00:00+00:00,2021-04-02 01:00:00+00:00,2021-04-02 09:00:00+00:00,DOGE,0.00043469,,DOGEUSDT
2021-04-04 00:00:00+00:00,2021-04-04 01:00:00+00:00,2021-04-04 09:00:00+00:00,XRP,0.00044823999999999998,,XRPUSDT
2021-04-07 00:00:00+00:00,2021-04-07 01:00:00+00:00,2021-04-07 09:00:00+00:00,ETH,0.00049127999999999997,,ETHUSDT
2021-04-09 00:00:00+00:00,2021-04-09 01:00:00+00:00,2021-04-09 09:00:00+00:00,ETH,0.00038905999999999999,,ETHUSDT
2021-04-11 16:00:00+00:00,2021-04-11 17:00:00+00:00,2021-04-12 01:00:00+00:00,SOL,0.00042256999999999999,,SOLUSDT
2021-04-16 08:00:00+00:00,2021-04-16 09:00:00+00:00,2021-04-16 17:00:00+00:00,DOGE,0.0001,,DOGEUSDT
2021-04-18 16:00:00+00:00,2021-04-18 17:00:00+00:00,2021-04-19 01:00:00+00:00,ETH,0.00044396000000000003,,ETHUSDT
2021-04-20 08:00:00+00:00,2021-04-20 09:00:00+00:00,2021-04-20 17:00:00+00:00,SOL,0.00031573000000000001,,SOLUSDT
2021-04-22 00:00:00+00:00,2021-04-22 01:00:00+00:00,2021-04-22 09:00:00+00:00,BNB,0.00047856999999999999,,BNBUSDT
2021-04-25 00:00:00+00:00,2021-04-25 01:00:00+00:00,2021-04-25 09:00:00+00:00,BTC,0.00021699999999999999,,BTCUSDT
2021-04-27 00:00:00+00:00,2021-04-27 01:00:00+00:00,2021-04-27 09:00:00+00:00,SOL,0.00041421999999999997,,SOLUSDT
2021-04-28 08:00:00+00:00,2021-04-28 09:00:00+00:00,2021-04-28 17:00:00+00:00,BNB,0.00037287000000000003,,BNBUSDT
2021-05-01 16:00:00+00:00,2021-05-01 17:00:00+00:00,2021-05-02 01:00:00+00:00,BNB,0.00044736999999999999,,BNBUSDT
2021-05-03 08:00:00+00:00,2021-05-03 09:00:00+00:00,2021-05-03 17:00:00+00:00,SOL,0.00047332,,SOLUSDT
2021-05-07 00:00:00+00:00,2021-05-07 01:00:00+00:00,2021-05-07 09:00:00+00:00,BTC,0.00044644999999999998,,BTCUSDT
2021-05-08 08:00:00+00:00,2021-05-08 09:00:00+00:00,2021-05-08 17:00:00+00:00,BTC,0.00046278999999999998,,BTCUSDT
2021-05-09 16:00:00+00:00,2021-05-09 17:00:00+00:00,2021-05-10 01:00:00+00:00,ADA,0.00039798999999999998,,ADAUSDT
2021-05-11 00:00:00+00:00,2021-05-11 01:00:00+00:00,2021-05-11 09:00:00+00:00,ETH,0.00041168999999999998,,ETHUSDT
2021-05-13 08:00:00+00:00,2021-05-13 09:00:00+00:00,2021-05-13 17:00:00+00:00,XRP,0.00031447000000000002,,XRPUSDT
2021-05-16 00:00:00+00:00,2021-05-16 01:00:00+00:00,2021-05-16 09:00:00+00:00,BTC,0.00040247999999999998,,BTCUSDT
2021-05-17 16:00:00+00:00,2021-05-17 17:00:00+00:00,2021-05-18 01:00:00+00:00,BNB,0.00045626,,BNBUSDT
2021-05-19 00:00:00+00:00,2021-05-19 01:00:00+00:00,2021-05-19 09:00:00+00:00,LINK,0.00012415000000000001,,LINKUSDT
2021-05-20 08:00:00+00:00,2021-05-20 09:00:00+00:00,2021-05-20 17:00:00+00:00,BTC,0.0001,,BTCUSDT
2021-05-25 00:00:00+00:00,2021-05-25 01:00:00+00:00,2021-05-25 09:00:00+00:00,AVAX,0.0001,,AVAXUSDT
2021-05-27 00:00:00+00:00,2021-05-27 01:00:00+00:00,2021-05-27 09:00:00+00:00,ADA,0.0001,,ADAUSDT
2021-05-28 16:00:00+00:00,2021-05-28 17:00:00+00:00,2021-05-29 01:00:00+00:00,ADA,0.0001,,ADAUSDT
2021-05-31 08:00:00+00:00,2021-05-31 09:00:00+00:00,2021-05-31 17:00:00+00:00,BTC,0.0001,,BTCUSDT
2021-06-02 08:00:00+00:00,2021-06-02 09:00:00+00:00,2021-06-02 17:00:00+00:00,ADA,0.0001,,ADAUSDT
2021-06-05 00:00:00+00:00,2021-06-05 01:00:00+00:00,2021-06-05 09:00:00+00:00,ADA,0.0001,,ADAUSDT
2021-06-06 16:00:00+00:00,2021-06-06 17:00:00+00:00,2021-06-07 01:00:00+00:00,ADA,0.0001,,ADAUSDT
2021-06-08 00:00:00+00:00,2021-06-08 01:00:00+00:00,2021-06-08 09:00:00+00:00,ADA,0.0001,,ADAUSDT
