min_threshold,max_threshold,hold_hours,trade_count,terminal_value,net_return,avg_trade_return,win_rate
0,0.00029999999999999997,8,1178,2743.4323062057288,-0.72565676937942714,-0.00091643370965052522,0.48641765704584039
0,0.00029999999999999997,16,985,3416.0917431412536,-0.65839082568587459,0.00058856040488792409,0.47411167512690355
0,0.00029999999999999997,24,842,2710.8717726649124,-0.72891282273350877,6.9096270953279294e-05,0.46912114014251782
0,0.00050000000000000001,8,1190,2921.0536131129443,-0.7078946386887055,-0.00054463058676788964,0.4823529411764706
0,0.00050000000000000001,16,991,3425.4361692314114,-0.65745638307685883,0.00097454313117114363,0.46316851664984865
0,0.00050000000000000001,24,849,2195.001861130424,-0.78049981388695766,-0.00097493232002813634,0.45583038869257952
0,0.00075000000000000002,8,1197,2753.2496405499842,-0.7246750359450016,-0.000806410355611908,0.4828738512949039
0,0.00075000000000000002,16,994,3086.5203493808044,-0.69134796506191953,0.0012835669682312891,0.46780684104627768
0,0.00075000000000000002,24,852,2388.7733510563371,-0.76112266489436631,0.00086739277373493824,0.460093896713615
0.0001,0.00029999999999999997,8,1034,2656.2179700899242,-0.73437820299100753,-0.0016218703210775132,0.46228239845261121
0.0001,0.00029999999999999997,16,881,2663.1140175272149,-0.7336885982472785,-0.00031826038763249528,0.45516458569807039
0.0001,0.00029999999999999997,24,762,2137.9657446752517,-0.7862034255324748,-0.0019526406142931641,0.4461942257217848
0.0001,0.00050000000000000001,8,1046,2728.8607893350277,-0.72711392106649719,-0.0012526621025505781,0.45697896749521988
0.0001,0.00050000000000000001,16,888,2733.0430537540456,-0.72669569462459549,0.00010501735224634512,0.44594594594594594
0.0001,0.00050000000000000001,24,770,1961.4211964409226,-0.80385788035590777,-0.0028866627466918151,0.42597402597402595
0.0001,0.00075000000000000002,8,1055,2654.9509636308776,-0.73450490363691223,-0.0014233327512000464,0.45971563981042651
0.0001,0.00075000000000000002,16,891,2577.841726302282,-0.74221582736977187,0.00040907859723958808,0.45230078563411896
0.0001,0.00075000000000000002,24,774,2036.7943791093899,-0.79632056208906099,-0.00095577818407352488,0.43281653746770027
0.00020000000000000001,0.00029999999999999997,8,180,9478.841994866516,-0.052115800513348409,0.0006353613355851329,0.48888888888888887
0.00020000000000000001,0.00029999999999999997,16,155,8940.8092220098388,-0.1059190777990161,0.0090943609480409835,0.54193548387096779
0.00020000000000000001,0.00029999999999999997,24,137,11431.939021674187,0.14319390216741867,0.011721671586194929,0.49635036496350365
0.00020000000000000001,0.00050000000000000001,8,222,9335.7060990995924,-0.066429390090040785,0.0016213813483375774,0.44594594594594594
0.00020000000000000001,0.00050000000000000001,16,187,9972.4489561610371,-0.0027551043838962563,0.0057353973546964811,0.45989304812834225
0.00020000000000000001,0.00050000000000000001,24,162,8203.9809511703115,-0.1796019048829689,0.0080575406176871499,0.4567901234567901
0.00020000000000000001,0.00075000000000000002,8,234,7785.2215829767993,-0.2214778417023201,0.0016682130883024779,0.47863247863247865
0.00020000000000000001,0.00075000000000000002,16,197,8050.1994267427572,-0.19498005732572432,0.0074412718066958483,0.48223350253807107
0.00020000000000000001,0.00075000000000000002,24,170,10850.043127456473,0.085004312745647237,0.01504930795512693,0.47058823529411764
