date,equity
2020-01-09 00:00:00+00:00,10082.038097857356
2020-01-16 00:00:00+00:00,10014.97311220281
2020-01-23 00:00:00+00:00,9877.320508431247
2020-01-30 00:00:00+00:00,9645.876400884355
2020-02-06 00:00:00+00:00,10312.783602789637
2020-02-13 00:00:00+00:00,9959.3658194705
2020-02-20 00:00:00+00:00,9888.171506421217
2020-02-27 00:00:00+00:00,9814.480317556936
2020-03-05 00:00:00+00:00,9856.46278239638
2020-03-12 00:00:00+00:00,9588.873143928884
2020-03-19 00:00:00+00:00,9520.939772632148
2020-03-26 00:00:00+00:00,9210.390094038525
2020-04-02 00:00:00+00:00,9330.917222859618
2020-04-09 00:00:00+00:00,9179.071231599788
2020-04-16 00:00:00+00:00,9133.419332348303
2020-04-23 00:00:00+00:00,9271.60381710244
2020-04-30 00:00:00+00:00,9092.886639596478
2020-05-07 00:00:00+00:00,8872.288717330966
2020-05-14 00:00:00+00:00,8828.523631826038
2020-05-21 00:00:00+00:00,9007.30578549015
2020-05-28 00:00:00+00:00,8858.36003896849
2020-06-04 00:00:00+00:00,8359.620332892871
2020-06-11 00:00:00+00:00,8302.299370552024
2020-06-18 00:00:00+00:00,8346.819029353117
2020-06-25 00:00:00+00:00,8450.155272632228
2020-07-02 00:00:00+00:00,8353.10542806679
2020-07-09 00:00:00+00:00,7352.2384087596565
2020-07-16 00:00:00+00:00,7409.880449633911
2020-07-23 00:00:00+00:00,7245.8037355484585
2020-07-30 00:00:00+00:00,7360.253071837806
2020-08-06 00:00:00+00:00,7508.55494541236
2020-08-13 00:00:00+00:00,7234.612446390283
2020-08-20 00:00:00+00:00,7436.103626024901
2020-08-27 00:00:00+00:00,7575.129637993522
2020-09-03 00:00:00+00:00,7200.69953808333
2020-09-10 00:00:00+00:00,7334.2695142447055
2020-09-17 00:00:00+00:00,7110.093832693041
2020-09-24 00:00:00+00:00,7193.080694321467
2020-10-01 00:00:00+00:00,7254.314968295899
2020-10-08 00:00:00+00:00,7185.369063578148
2020-10-15 00:00:00+00:00,7162.901244318273
2020-10-22 00:00:00+00:00,7087.330969666992
2020-10-29 00:00:00+00:00,7175.88288160462
2020-11-05 00:00:00+00:00,7127.53875160877
2020-11-12 00:00:00+00:00,7287.100609514348
2020-11-19 00:00:00+00:00,7346.787819470534
2020-11-26 00:00:00+00:00,7417.218928954807
2020-12-03 00:00:00+00:00,7437.526641455031
2020-12-10 00:00:00+00:00,7220.323835699043
2020-12-17 00:00:00+00:00,7158.482687093592
2020-12-24 00:00:00+00:00,6683.564542238551
2020-12-31 00:00:00+00:00,6759.396037184958
2021-01-07 00:00:00+00:00,6828.714259505634
2021-01-14 00:00:00+00:00,6320.537465805107
2021-01-21 00:00:00+00:00,6239.018798461233
2021-01-28 00:00:00+00:00,6115.077276545121
2021-02-04 00:00:00+00:00,7033.697601211173
2021-02-11 00:00:00+00:00,7520.596228065777
2021-02-18 00:00:00+00:00,7527.839398542311
2021-02-25 00:00:00+00:00,7916.114826341533
2021-03-04 00:00:00+00:00,7719.930895911502
2021-03-11 00:00:00+00:00,8003.977498235077
2021-03-18 00:00:00+00:00,8261.756764665155
2021-03-25 00:00:00+00:00,8121.1726400097
2021-04-01 00:00:00+00:00,8433.68932471575
2021-04-08 00:00:00+00:00,8386.58131698526
2021-04-15 00:00:00+00:00,8080.440291845821
2021-04-22 00:00:00+00:00,8898.621271382832
2021-04-29 00:00:00+00:00,9241.252744251984
2021-05-06 00:00:00+00:00,8228.038171693144
2021-05-13 00:00:00+00:00,8007.791257527944
2021-05-20 00:00:00+00:00,8001.70797516797
2021-05-27 00:00:00+00:00,7871.587281828233
2021-06-03 00:00:00+00:00,7918.9307132109925
2021-06-10 00:00:00+00:00,7968.913325314001
2021-06-17 00:00:00+00:00,7955.597770540464
2021-06-24 00:00:00+00:00,7937.873346757497
2021-07-01 00:00:00+00:00,8098.396076448643
2021-07-08 00:00:00+00:00,7988.812377839817
2021-07-15 00:00:00+00:00,8173.674493692849
2021-07-22 00:00:00+00:00,8206.293036787378
2021-07-29 00:00:00+00:00,8067.765841030149
2021-08-05 00:00:00+00:00,8028.979612367113
