strategy,n_trades,final_capital,total_return,sharpe,max_drawdown,win_rate,top_trade_pct_of_pnl
"Low-vol/High-vol L/S (long low-vol, short high-vol)",340,9936.343749898293,-0.0063656250101706835,0.11867452608342022,-0.33868912537704327,0.5441176470588235,26.938285938379884
Random-ranking L/S control (same leg sizes/turnover),343,3632.4825949555025,-0.6367517405044498,-0.7327852325799588,-0.6477689501820919,0.4518950437317784,0.16061876032975034
Equal-weight 30-asset buy-and-hold,1,62242.331919198725,5.224233191919873,0.7623971027225882,-0.8538202611828922,,
BTC buy-and-hold,1,88539.35299304944,7.853935299304943,0.8569644361165474,-0.7662925431645935,,
ETH buy-and-hold,1,144722.0310468762,13.472203104687619,0.9135544002606897,-0.7930253453633335,,
SOL buy-and-hold,1,224950.73518265877,21.495073518265876,1.0237407470335715,-0.9626992725584276,,
XRP buy-and-hold,1,55224.03522403523,4.522403522403523,0.743491684223874,-0.8323958401465105,,
Cash,0,10000.0,0.0,,0.0,,
