date,walcl,prior_sma13,risk_on_signal_close,risk_on_actionable
2003-03-19 00:00:00+00:00,729923.0,723089.2307692308,True,False
2003-03-26 00:00:00+00:00,725019.0,723887.7692307692,True,True
2003-04-02 00:00:00+00:00,732452.0,723346.2307692308,True,True
2003-04-09 00:00:00+00:00,727826.0,723458.3846153846,True,True
2003-04-16 00:00:00+00:00,745838.0,723771.0,True,True
2003-04-23 00:00:00+00:00,732222.0,725752.8461538461,True,True
2003-04-30 00:00:00+00:00,746294.0,725465.8461538461,True,True
2003-05-07 00:00:00+00:00,733466.0,728041.6153846154,True,True
2003-05-14 00:00:00+00:00,740371.0,729104.9230769231,True,True
2003-05-21 00:00:00+00:00,734699.0,731188.7692307692,True,True
2003-05-28 00:00:00+00:00,744896.0,731519.4615384615,True,True
2003-06-04 00:00:00+00:00,731667.0,733282.2307692308,False,True
2003-06-11 00:00:00+00:00,743236.0,733975.9230769231,True,False
2003-06-18 00:00:00+00:00,735926.0,735993.0,False,True
2003-06-25 00:00:00+00:00,744018.0,736454.7692307692,True,False
2003-07-02 00:00:00+00:00,740126.0,737916.2307692308,True,True
2003-07-09 00:00:00+00:00,744430.0,738506.5384615385,True,True
2003-07-16 00:00:00+00:00,737765.0,739783.7692307692,False,True
2003-07-23 00:00:00+00:00,745665.0,739162.7692307692,True,False
2003-07-30 00:00:00+00:00,740295.0,740196.8461538461,True,True
2003-08-06 00:00:00+00:00,734018.0,739735.3846153846,False,True
2003-08-13 00:00:00+00:00,735386.0,739777.8461538461,False,False
2003-08-20 00:00:00+00:00,750825.0,739394.3846153846,True,False
2003-08-27 00:00:00+00:00,740637.0,740634.8461538461,True,True
2003-09-03 00:00:00+00:00,750461.0,740307.2307692308,True,True
2003-09-10 00:00:00+00:00,737234.0,741752.9230769231,False,True
2003-09-17 00:00:00+00:00,743939.0,741291.2307692308,True,False
2003-09-24 00:00:00+00:00,741193.0,741907.6153846154,False,True
2003-10-01 00:00:00+00:00,753155.0,741690.3076923077,True,False
2003-10-08 00:00:00+00:00,737108.0,742692.5384615385,False,True
2003-10-15 00:00:00+00:00,754229.0,742129.3076923077,True,False
2003-10-22 00:00:00+00:00,743578.0,743395.7692307692,True,True
2003-10-29 00:00:00+00:00,747272.0,743235.2307692308,True,True
2003-11-05 00:00:00+00:00,744116.0,743771.9230769231,True,True
2003-11-12 00:00:00+00:00,745604.0,744548.6923076923,True,True
2003-11-19 00:00:00+00:00,744521.0,745334.6923076923,False,True
2003-11-26 00:00:00+00:00,756964.0,744849.7692307692,True,False
2003-12-03 00:00:00+00:00,749981.0,746105.6923076923,True,True
2003-12-10 00:00:00+00:00,756585.0,746068.7692307692,True,True
2003-12-17 00:00:00+00:00,753919.0,747557.3076923077,True,True
2003-12-24 00:00:00+00:00,767012.0,748325.0,True,True
2003-12-31 00:00:00+00:00,771551.0,750311.0769230769,True,True
2004-01-07 00:00:00+00:00,755829.0,751726.1538461539,True,True
2004-01-14 00:00:00+00:00,752812.0,753166.2307692308,False,True
2004-01-21 00:00:00+00:00,775833.0,753057.2307692308,True,False
2004-01-28 00:00:00+00:00,755279.0,755538.3846153846,False,True
2004-02-04 00:00:00+00:00,754153.0,756154.3076923077,False,False
2004-02-11 00:00:00+00:00,750999.0,756926.3846153846,False,False
2004-02-18 00:00:00+00:00,758759.0,757341.3846153846,True,False
2004-02-25 00:00:00+00:00,750666.0,758436.6153846154,False,True
2004-03-03 00:00:00+00:00,754867.0,757952.1538461539,False,False
2004-03-10 00:00:00+00:00,749950.0,758328.0,False,False
2004-03-17 00:00:00+00:00,760638.0,757817.6153846154,True,False
2004-03-24 00:00:00+00:00,751510.0,758334.4615384615,False,True
2004-03-31 00:00:00+00:00,760725.0,757142.0,True,False
2004-04-07 00:00:00+00:00,754083.0,756309.2307692308,False,True
2004-04-14 00:00:00+00:00,763734.0,756174.9230769231,True,False
2004-04-21 00:00:00+00:00,757984.0,757015.0769230769,True,True
2004-04-28 00:00:00+00:00,772927.0,755642.0769230769,True,True
2004-05-05 00:00:00+00:00,758838.0,756999.6153846154,True,True
2004-05-12 00:00:00+00:00,764835.0,757360.0,True,True
2004-05-19 00:00:00+00:00,756874.0,758424.3076923077,False,True
2004-05-26 00:00:00+00:00,771108.0,758279.3076923077,True,False
2004-06-02 00:00:00+00:00,764090.0,759851.7692307692,True,True
2004-06-09 00:00:00+00:00,772187.0,760561.2307692308,True,True
2004-06-16 00:00:00+00:00,761834.0,762271.7692307692,False,True
2004-06-23 00:00:00+00:00,775261.0,762363.7692307692,True,False
2004-06-30 00:00:00+00:00,779578.0,764190.7692307692,True,True
2004-07-07 00:00:00+00:00,778163.0,765641.0,True,True
2004-07-14 00:00:00+00:00,775536.0,767493.3076923077,True,True
2004-07-21 00:00:00+00:00,776764.0,768401.1538461539,True,True
2004-07-28 00:00:00+00:00,773916.0,769845.7692307692,True,True
2004-08-04 00:00:00+00:00,772085.0,769921.8461538461,True,True
2004-08-11 00:00:00+00:00,769265.0,770940.8461538461,False,True
2004-08-18 00:00:00+00:00,767595.0,771281.6153846154,False,False
2004-08-25 00:00:00+00:00,775437.0,772106.3076923077,True,False
2004-09-01 00:00:00+00:00,785273.0,772439.3076923077,True,True
2004-09-08 00:00:00+00:00,788602.0,774068.7692307692,True,True
2004-09-15 00:00:00+00:00,789128.0,775331.4615384615,True,True
2004-09-22 00:00:00+00:00,782124.0,777431.0,True,True
2004-09-29 00:00:00+00:00,786330.0,777958.9230769231,True,True
2004-10-06 00:00:00+00:00,781777.0,778478.3076923077,True,True
2004-10-13 00:00:00+00:00,795483.0,778756.3076923077,True,True
2004-10-20 00:00:00+00:00,784954.0,780290.6923076923,True,True
2004-10-27 00:00:00+00:00,791336.0,780920.6923076923,True,True
2004-11-03 00:00:00+00:00,790552.0,782260.6923076923,True,True
2004-11-10 00:00:00+00:00,800473.0,783681.2307692308,True,True
2004-11-17 00:00:00+00:00,794090.0,786081.8461538461,True,True
2004-11-24 00:00:00+00:00,809956.0,788119.9230769231,True,True
2004-12-01 00:00:00+00:00,807063.0,790775.2307692308,True,True
2004-12-08 00:00:00+00:00,808495.0,792451.3846153846,True,True
2004-12-15 00:00:00+00:00,807028.0,793981.6153846154,True,True
2004-12-22 00:00:00+00:00,811333.0,795358.5384615385,True,True
2004-12-29 00:00:00+00:00,810944.0,797605.3846153846,True,True
2005-01-05 00:00:00+00:00,815702.0,799498.7692307692,True,True
2005-01-12 00:00:00+00:00,798455.0,802108.3846153846,False,True
2005-01-19 00:00:00+00:00,806960.0,802337.0,True,False
2005-01-26 00:00:00+00:00,807262.0,804029.7692307692,True,True
2005-02-02 00:00:00+00:00,804746.0,805254.8461538461,False,True
2005-02-09 00:00:00+00:00,797299.0,806346.6923076923,False,False
2005-02-16 00:00:00+00:00,795606.0,806102.5384615385,False,False
