asset,start,end,risk_on_days,risk_on_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2w,best_excluded,top_block_pct,sharpe,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,1196,0.38210862619808306,5,31136.74118331982,46344.780518358595,39941.66037721917,84689.48713366143,14589.224772822938,30673.173084491864,26096.506301173755,9944.90892840964,1.3238548414795919,0.5279266366145323,-0.6720389730001348,7727.982944011054,15032.99363290963,2
ETH,2018-01-01,2026-07-27,1196,0.38210862619808306,5,98376.66259817684,25741.27110993787,34753.85778180409,127304.60327323966,33318.493892944076,96912.01727189882,60735.62213504671,17144.548705153476,1.2565914256858006,0.7633112257014322,-0.7552519485263413,7156.682557791699,8268.923793334221,2
SOL,2020-08-11,2026-07-27,881,0.4046853468075333,4,115428.47573209564,259570.99438561453,40615.94868993892,904985.4845900396,18057.716082653347,114051.60454435926,80532.84052620502,6241.4459243249385,1.659311458957507,0.8953115768040156,-0.9073196324293988,6823.798052311831,7272.683189136861,2
XRP,2018-05-04,2026-07-27,1196,0.3977386099102095,5,13506.105817474392,21258.129805292065,22385.074054116783,37077.29762569797,29940.793990767776,13305.025050559387,7400.875887144699,7599.892668192563,2.860575974305883,0.4078000198039631,-0.8679461591433092,6467.03984134119,17268.992530700296,2
