symbol,direction,signal_timestamp,entry_timestamp,entry_price,entry_execution_price,exit_timestamp,exit_price,exit_execution_price,position_size,allocated_notional,gross_return,fees,slippage,net_return,net_pnl,exit_reason,holding_period_bars,entry_regime,reference_level
ETHUSDT,long,2017-08-27 20:00:00+00:00,2017-08-28 00:00:00+00:00,348.11,348.28405499999997,2017-08-28 04:00:00+00:00,343.43,343.258285,9.570731951347396,3333.3333333333335,-0.013437307659691764,3.309283184573772,3.3092719868169973,-0.015422874211108993,-51.40958070369665,reference_failure,1,sideways,346.52
ETHUSDT,long,2017-08-29 04:00:00+00:00,2017-08-29 08:00:00+00:00,354.17,354.347085,2017-09-02 08:00:00+00:00,364.83,364.647585,9.261890083361731,3281.9237526296365,0.03008349849978297,3.3296248020314705,3.3296494849682516,0.02805442202240777,92.07247400163602,time_exit,24,sideways,353.23
BTCUSDT,long,2017-08-29 12:00:00+00:00,2017-08-29 16:00:00+00:00,4569.65,4571.934824999999,2017-09-02 16:00:00+00:00,4465.12,4462.88744,0.7290859255268001,3333.3333333333335,-0.022863405538594863,3.2935808765238326,3.2935618236852964,-0.024839548348657602,-82.79849449552535,time_exit,24,sideways,4453.91
BTCUSDT,long,2017-09-27 16:00:00+00:00,2017-09-27 20:00:00+00:00,4189.0,4191.0945,2017-09-29 00:00:00+00:00,4006.784705989244,4004.7813136362493,0.7755813759002114,3250.5348388378084,-0.043476780113346575,3.1782843201236335,3.178248989426566,-0.0454323147021784,-147.67932174847405,atr_stop,7,bull,4119.0
ETHUSDT,long,2017-09-27 16:00:00+00:00,2017-09-27 20:00:00+00:00,308.64,308.79431999999997,2017-09-28 12:00:00+00:00,300.76,300.60962,10.926354560638528,3373.9962266312723,-0.025518604098676418,3.3292817595450437,3.3292602346262146,-0.027492092373978788,-92.75821593200281,reference_failure,4,bull,303.49
BTCUSDT,long,2017-09-30 08:00:00+00:00,2017-09-30 12:00:00+00:00,4320.21,4322.370105,2017-10-03 08:00:00+00:00,4280.0,4277.860000000001,0.717859748636526,3102.8555170893346,-0.009302766543171812,3.086879510695792,3.0868722944102007,-0.011292466602070252,-35.038892297780734,reference_failure,17,bull,4300.0
ETHUSDT,long,2017-10-06 20:00:00+00:00,2017-10-07 00:00:00+00:00,309.9,310.05494999999996,2017-10-07 12:00:00+00:00,306.0,305.84700000000004,10.582762864128664,3281.2380106992696,-0.012578415535697714,3.258972142202215,3.2589618240078764,-0.01456484076451586,-47.79070913631165,reference_failure,3,bull,307.49
BTCUSDT,long,2017-10-08 12:00:00+00:00,2017-10-08 16:00:00+00:00,4590.0,4592.295,2017-10-12 16:00:00+00:00,5316.42,5313.7617900000005,0.6680356172222285,3067.8166247915537,0.15818234673512918,3.3087993809730487,3.308920699581095,0.1560252034342307,478.65671298201715,time_exit,24,bull,4561.63
BTCUSDT,long,2017-10-12 20:00:00+00:00,2017-10-13 00:00:00+00:00,5439.99,5442.709994999999,2017-10-17 00:00:00+00:00,5760.0,5757.12,0.6516006439864652,3546.4733377735706,0.05879607774325302,3.6489082186404644,3.648960348320712,0.05673829586477915,201.2208535151477,time_exit,24,bull,5413.73
ETHUSDT,long,2017-10-13 04:00:00+00:00,2017-10-13 08:00:00+00:00,328.53,328.694265,2017-10-17 08:00:00+00:00,326.81,326.64659500000005,9.837248914467548,3233.4473015629583,-0.00523282631657711,3.2233755818206147,3.2233713518031393,-0.0072265952982171,-23.366815066507645,time_exit,24,bull,318.5
