entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return
2023-01-07 00:00:00+00:00,2023-02-06 00:00:00+00:00,13.51,23.46,0.7364914877868247,9985.0,17312.859204293116,0.7338867505551443
2023-02-21 00:00:00+00:00,2023-03-01 00:00:00+00:00,26.26,21.88,-0.16679360243716687,17286.889915486678,14381.941950640601,-0.16804341203351114
2023-03-22 00:00:00+00:00,2023-03-28 00:00:00+00:00,22.52,19.91,-0.1158969804618117,14360.369037714641,12677.001559484333,-0.11722313499111892
2023-04-12 00:00:00+00:00,2023-04-22 00:00:00+00:00,22.99,21.26,-0.07525010874293157,12657.986057145108,11687.91302303361,-0.07663723357981711
2023-05-31 00:00:00+00:00,2023-06-08 00:00:00+00:00,21.25,18.64,-0.12282352941176468,11670.38115349906,10221.628275019797,-0.1241392941176469
2023-06-30 00:00:00+00:00,2023-07-25 00:00:00+00:00,18.0,23.36,0.29777777777777775,10206.295832607268,13225.635669096178,0.29583111111111116
2023-08-15 00:00:00+00:00,2023-08-17 00:00:00+00:00,25.19,22.82,-0.09408495434696311,13205.797215592534,11945.385391867087,-0.09544382691544262
2023-09-21 00:00:00+00:00,2023-10-12 00:00:00+00:00,20.29,22.01,0.08477082306554966,11927.467313779287,12919.160682253214,0.08314366683095131
2023-10-17 00:00:00+00:00,2024-01-04 00:00:00+00:00,23.95,98.52,3.11356993736952,12899.781941229834,52984.55895927718,3.107399582463466
2024-02-09 00:00:00+00:00,2024-02-22 00:00:00+00:00,102.77,105.04,0.02208815802276939,52905.08212083827,53992.54744802855,0.020555025785735426
2024-02-29 00:00:00+00:00,2024-04-06 00:00:00+00:00,119.03,174.37,0.46492480887171306,53911.55862685651,78857.9151478478,0.46272742165840564
2024-05-16 00:00:00+00:00,2024-06-03 00:00:00+00:00,158.52,163.14,0.029144587433762147,78739.62827512603,80912.91056250854,0.027600870552611623
2024-07-16 00:00:00+00:00,2024-08-01 00:00:00+00:00,159.37,171.7,0.07736713308652811,80791.54119666478,86911.58789001784,0.07575108238689854
2024-09-20 00:00:00+00:00,2024-10-03 00:00:00+00:00,142.88,140.18,-0.01889697648376252,86781.22050818281,85013.60584826996,-0.020368631019036965
2024-10-20 00:00:00+00:00,2024-11-04 00:00:00+00:00,159.79,162.52,0.01708492396270116,84886.08543949756,86206.85321809065,0.015559296576757031
2024-11-07 00:00:00+00:00,2024-12-03 00:00:00+00:00,186.59,225.73,0.20976472479768468,86077.54293826352,103977.37468140331,0.20795007771048835
2025-01-18 00:00:00+00:00,2025-01-29 00:00:00+00:00,219.52,227.06,0.034347667638483924,103821.40861938121,107226.35070861437,0.032796146137026305
2025-04-18 00:00:00+00:00,2025-05-05 00:00:00+00:00,134.84,143.94,0.06748739246514383,107065.51118255145,114119.64673017674,0.06588616137644632
2025-05-09 00:00:00+00:00,2025-05-30 00:00:00+00:00,164.46,166.71,0.013681138270704121,113948.46726008148,115334.15087840686,0.012160616563298143
2025-07-10 00:00:00+00:00,2025-07-31 00:00:00+00:00,157.06,177.77,0.13186043550235585,115161.14965208925,130150.82947466848,0.13016264484910245
2025-08-13 00:00:00+00:00,2025-09-23 00:00:00+00:00,191.77,220.39,0.14924127861500744,129955.60323045649,149126.3181043248,0.14751741669708518
2026-01-04 00:00:00+00:00,2026-01-20 00:00:00+00:00,133.37,133.44,0.0005248556646921585,148902.62862716833,148757.30984376793,-0.0009759316188048262
2026-03-05 00:00:00+00:00,2026-03-09 00:00:00+00:00,90.86,81.6,-0.10191503411842401,148534.17387900228,133196.21401765128,-0.10326216156724644
2026-03-16 00:00:00+00:00,2026-03-23 00:00:00+00:00,92.31,86.21,-0.06608168129130114,132996.4196966248,124021.4809883323,-0.06748255876936404
2026-04-17 00:00:00+00:00,2026-04-30 00:00:00+00:00,89.06,83.05,-0.06748259600269486,123835.44876684982,115305.49314009372,-0.06888137210869083
2026-05-07 00:00:00+00:00,2026-05-17 00:00:00+00:00,89.16,86.53,-0.02949753252579627,115132.53490038359,111568.80459357108,-0.030953286227007548
2026-06-30 00:00:00+00:00,2026-07-12 00:00:00+00:00,75.17,76.79,0.02155115072502334,111401.45138668074,113631.57743521672,0.020018823998936064
