entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return
2023-01-12 00:00:00+00:00,2023-01-31 00:00:00+00:00,0.3728,0.3933,0.05498927038626599,9985.0,10518.266763009657,0.05340678648068664
2023-03-22 00:00:00+00:00,2023-04-20 00:00:00+00:00,0.4696,0.4911,0.04578364565587726,10502.489362865143,10966.856616937645,0.04421497018739373
2023-05-28 00:00:00+00:00,2023-06-15 00:00:00+00:00,0.4714,0.4802,0.018667798048366633,10950.406332012239,11138.09406650685,0.017139796351294034
2023-07-14 00:00:00+00:00,2023-07-25 00:00:00+00:00,0.8151,0.702,-0.13875598086124413,11121.38692540709,9563.860632073762,-0.1400478468899522
2023-09-21 00:00:00+00:00,2023-10-10 00:00:00+00:00,0.5213,0.5027,-0.03568003069249943,9549.514841125652,9194.974676708065,-0.037126510646460775
2023-10-24 00:00:00+00:00,2023-11-17 00:00:00+00:00,0.5475,0.6118,0.11744292237442927,9181.182214693003,10244.057914211427,0.11576675799086789
2023-12-07 00:00:00+00:00,2023-12-16 00:00:00+00:00,0.64,0.6156,-0.038124999999999964,10228.691827340112,9823.964866995637,-0.039567812499999855
2024-02-15 00:00:00+00:00,2024-03-17 00:00:00+00:00,0.5378,0.603,0.12123465972480484,9809.228919695144,10981.949778762195,0.1195528077352177
2024-05-26 00:00:00+00:00,2024-05-31 00:00:00+00:00,0.5416,0.5185,-0.042651403249630744,10965.476854094051,10482.037203147145,-0.04408742614475625
2024-07-14 00:00:00+00:00,2024-08-03 00:00:00+00:00,0.5257,0.5606,0.06638767357808645,10466.314147342426,11144.40667193012,0.0647880920677193
2024-09-22 00:00:00+00:00,2024-10-03 00:00:00+00:00,0.5977,0.5383,-0.09938096034800069,11127.690061922227,10006.776822807824,-0.10073188890747853
2024-11-08 00:00:00+00:00,2024-12-22 00:00:00+00:00,0.5556,2.2379,3.027897768178545,9991.766657573613,40185.44589827125,3.021855921526277
2025-01-12 00:00:00+00:00,2025-02-02 00:00:00+00:00,2.5764,2.8779,0.11702375407545407,40125.16772942385,44753.53434179325,0.11534821844434107
2025-03-03 00:00:00+00:00,2025-03-10 00:00:00+00:00,2.9395,2.1388,-0.2723932641605715,44686.40404028056,32465.357387280164,-0.27348467426433065
2025-04-23 00:00:00+00:00,2025-05-05 00:00:00+00:00,2.2138,2.1561,-0.026063781732767227,32416.659351199247,31524.400979438076,-0.027524686060168113
2025-05-09 00:00:00+00:00,2025-05-24 00:00:00+00:00,2.3272,2.2965,-0.013191818494327927,31477.11437796892,31015.281187372,-0.014672030766586408
2025-07-04 00:00:00+00:00,2025-07-29 00:00:00+00:00,2.2569,3.1235,0.38397802295183664,30968.758265590943,42795.79071642937,0.3819020559174089
2025-09-13 00:00:00+00:00,2025-09-21 00:00:00+00:00,3.1054,2.975,-0.04199136987183611,42731.59703035473,40875.83287613749,-0.04342838281702843
2026-01-04 00:00:00+00:00,2026-01-19 00:00:00+00:00,2.0182,1.9914,-0.013279159647210461,40814.51912682328,40212.12780649695,-0.014759240907739613
2026-03-16 00:00:00+00:00,2026-03-27 00:00:00+00:00,1.4488,1.3608,-0.06073992269464389,40151.809614787206,37656.42231503087,-0.06214881281060192
2026-04-16 00:00:00+00:00,2026-04-29 00:00:00+00:00,1.3922,1.3806,-0.008332136187329446,37599.937681558324,37230.719905340244,-0.009819637983048302
2026-05-11 00:00:00+00:00,2026-05-19 00:00:00+00:00,1.4735,1.3901,-0.05659993213437403,37174.87382548224,35018.172322121245,-0.05801503223617244
