entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,note
2023-01-07 00:00:00+00:00,2023-02-07 00:00:00+00:00,16950.31,22762.52,0.3428969735656751,9985.0,13388.713041631687,0.34088262810532677,
2023-02-16 00:00:00+00:00,2023-02-26 00:00:00+00:00,24322.87,23157.07,-0.047930199026677334,13368.62997206924,12708.777073478766,-0.04935830372813732,
2023-03-15 00:00:00+00:00,2023-04-21 00:00:00+00:00,24670.41,28243.65,0.1448391007688969,12689.713907868549,14505.889138309847,0.1431218421177436,
2023-05-29 00:00:00+00:00,2023-06-06 00:00:00+00:00,28065.01,25728.2,-0.08326417842003256,14484.130304602382,13258.203913018979,-0.08463928215240246,
2023-06-21 00:00:00+00:00,2023-07-07 00:00:00+00:00,28308.0,29895.42,0.056076727426875736,13238.31660714945,13959.707062000574,0.054492612335735435,
2023-07-14 00:00:00+00:00,2023-07-18 00:00:00+00:00,31454.23,30138.01,-0.041845564173721664,13938.767501407574,13335.4586735577,-0.043282795827461085,
2023-10-02 00:00:00+00:00,2023-10-12 00:00:00+00:00,27992.58,26875.52,-0.039905574977369046,13315.455485547363,12764.918436443568,-0.04134571661490294,
2023-10-17 00:00:00+00:00,2023-12-30 00:00:00+00:00,28500.77,42066.94,0.47599310474769635,12745.771058788903,18784.45119216897,0.473779115090575,
2024-01-02 00:00:00+00:00,2024-01-13 00:00:00+00:00,44179.55,42782.74,-0.031616664271139135,18756.27451538072,18136.01878552903,-0.033069239274732265,
2024-02-08 00:00:00+00:00,2024-03-17 00:00:00+00:00,44349.6,65300.64,0.47240651550408574,18108.814757350738,26623.5415315246,0.47019790573082987,
2024-04-09 00:00:00+00:00,2024-04-14 00:00:00+00:00,71620.0,63924.52,-0.1074487573303547,26583.606219227313,23691.639919463432,-0.10878758419435919,
2024-05-16 00:00:00+00:00,2024-06-01 00:00:00+00:00,66206.51,67540.01,0.020141523847126214,23656.10245958424,24096.37355278691,0.018611311561355537,
2024-07-16 00:00:00+00:00,2024-08-01 00:00:00+00:00,64724.06,64628.01,-0.0014839921970283638,24060.22899245773,23988.48701467365,-0.0029817662087326946,
2024-08-24 00:00:00+00:00,2024-09-01 00:00:00+00:00,64037.24,58974.0,-0.07906711782081798,23952.50428415164,22025.560832604257,-0.08044851714408674,
2024-09-19 00:00:00+00:00,2024-10-02 00:00:00+00:00,61759.98,60804.92,-0.015464059411936418,21992.52249135535,21619.95017370529,-0.01694086332281841,
2024-10-15 00:00:00+00:00,2024-12-22 00:00:00+00:00,66084.0,97292.0,0.47224744264875007,21587.520248444733,31734.498221682516,0.47003907148477686,
2025-01-18 00:00:00+00:00,2025-02-02 00:00:00+00:00,104077.47,100635.66,-0.03306969318143492,31686.896474349993,30593.06199927624,-0.03452008864166278,
2025-04-22 00:00:00+00:00,2025-05-31 00:00:00+00:00,87516.22,103985.47,0.18818511585623784,30547.17240627733,36241.25204125615,0.1864028381824534,
2025-07-03 00:00:00+00:00,2025-08-01 00:00:00+00:00,108849.59,115764.07,0.06352325259102962,36186.890163194264,38427.87072882343,0.06192796771214315,
2025-08-13 00:00:00+00:00,2025-08-19 00:00:00+00:00,120134.09,116227.05,-0.032522325677915354,38370.228922730195,37066.656331606944,-0.03397354218939841,
2025-09-13 00:00:00+00:00,2025-09-22 00:00:00+00:00,116029.41,115232.29,-0.006869982360506788,37011.05634710954,36701.655856296886,-0.008359677386965858,
2025-10-02 00:00:00+00:00,2025-10-11 00:00:00+00:00,118594.99,112774.49,-0.049078801726784575,36646.60337251244,34795.759943645346,-0.05050518352419431,
2026-01-04 00:00:00+00:00,2026-01-21 00:00:00+00:00,90628.01,88427.66,-0.024278917742980247,34743.56630372988,33849.18007017083,-0.025742499366365745,
2026-03-05 00:00:00+00:00,2026-03-22 00:00:00+00:00,72666.77,68918.12,-0.05158685324805284,33798.40630006557,32006.770594934664,-0.05300947296818059,
2026-04-08 00:00:00+00:00,2026-05-16 00:00:00+00:00,71924.22,79113.2,0.09995214407608446,31958.760439042264,35100.37740633808,0.09830221585997023,
2026-07-15 00:00:00+00:00,2026-07-27 00:00:00+00:00,65043.99,63755.86,-0.01980398188979485,35047.72684022857,34302.1118291673,-0.021274275916960184,forced_close_at_sample_end
