asset,trades,filtered_final,control_final,buy_hold_final,dca_final,random_final,doubled_final,delayed_final,top_trade_pct,verdict
BTC,10,16445.366650604392,34302.111829167297,38484.617695585934,12457.934342837952,16000.722797433853,16199.979001267937,16930.745864359928,59.614305729385798,REJECTED
ETH,17,8508.7533172934563,11142.090390525374,15798.412018884046,8101.696188518722,16040.848495194319,8294.0461531340025,7874.9604795438981,-173.5835534193339,REJECTED
SOL,11,26791.590067161469,113631.57743521672,74311.802106268879,12889.815061318428,15517.982198351598,26352.175229166984,25885.886601962047,65.588139435520759,REJECTED
XRP,8,39245.788628247283,35018.172322121245,31410.541314024831,13482.485180940601,7230.0718920451327,38776.604161186893,31374.133081890421,108.09635227574152,REJECTED
