entry_time,exit_time,side,entry_price,exit_price,return,pnl,fees_paid,entry_regime,bars
2018-01-03 00:00:00+00:00,2018-01-17 00:00:00+00:00,long,8.7151,13.0262,0.4925700734,4925.700734,15,Range/Chop,14
2018-01-21 00:00:00+00:00,2018-01-31 00:00:00+00:00,long,16.1602,11.46,-0.2920666286,-2920.666286,15,Range/Chop,10
2018-02-21 00:00:00+00:00,2018-03-14 00:00:00+00:00,short,9.8888,10.1999,-0.1523239396,-1523.239396,30,Range/Chop,21
2018-03-14 00:00:00+00:00,2018-03-15 00:00:00+00:00,long,10.1999,8.915,-0.1289718233,-1289.718233,30,Range/Chop,1
2018-03-15 00:00:00+00:00,2018-03-22 00:00:00+00:00,short,8.915,9.9729,-0.1164205093,-1164.205093,30,Range/Chop,7
2018-03-22 00:00:00+00:00,2018-03-28 00:00:00+00:00,long,9.9729,11.5404,0.1537349545,1537.349545,15,Range/Chop,6
2018-03-30 00:00:00+00:00,2018-04-01 00:00:00+00:00,short,10.1877,11.0599,-0.08437333448,-843.7333448,30,Range/Chop,2
2018-04-01 00:00:00+00:00,2018-04-18 00:00:00+00:00,long,11.0599,11.777,0.0616536024,616.536024,15,Range/Chop,17
2018-04-19 00:00:00+00:00,2018-04-26 00:00:00+00:00,long,12.2999,13.3999,0.08780412953,878.0412953,15,Range/Chop,7
2018-05-10 00:00:00+00:00,2018-05-16 00:00:00+00:00,long,14.6266,12.5312,-0.1446242286,-1446.242286,15,Range/Chop,6
2018-05-19 00:00:00+00:00,2018-05-24 00:00:00+00:00,long,15.0885,12.4997,-0.1728823339,-1728.823339,30,Range/Chop,5
2018-05-24 00:00:00+00:00,2018-06-01 00:00:00+00:00,short,12.4997,14.1919,-0.1435487201,-1435.487201,30,Range/Chop,8
2018-06-01 00:00:00+00:00,2018-06-11 00:00:00+00:00,long,14.1919,14.18,-0.003823706784,-38.23706784,15,Range/Chop,10
2018-06-12 00:00:00+00:00,2018-06-25 00:00:00+00:00,long,15.47,14.4174,-0.06946166396,-694.6166396,30,Range/Chop,13
2018-06-25 00:00:00+00:00,2018-07-18 00:00:00+00:00,short,14.4174,13.7398,0.01925885319,192.5885319,15,Range/Chop,23
2018-07-19 00:00:00+00:00,2018-07-28 00:00:00+00:00,short,12.8575,13.9902,-0.09451654461,-945.1654461,15,Range/Chop,9
2018-07-31 00:00:00+00:00,2018-08-01 00:00:00+00:00,short,13.2057,13.8384,-0.04941112929,-494.1112929,30,Range/Chop,1
2018-08-01 00:00:00+00:00,2018-08-08 00:00:00+00:00,long,13.8384,13.1486,-0.0527370076,-527.370076,30,Range/Chop,7
2018-08-08 00:00:00+00:00,2018-08-18 00:00:00+00:00,short,13.1486,10.8766,0.1467579509,1467.579509,15,Range/Chop,10
2018-08-31 00:00:00+00:00,2018-09-22 00:00:00+00:00,short,10.7899,10.4761,-0.005371649932,-53.71649932,15,Range/Chop,22
2018-09-25 00:00:00+00:00,2018-10-06 00:00:00+00:00,short,10.0295,10.6622,-0.06468093983,-646.8093983,15,Range/Chop,11
2018-10-12 00:00:00+00:00,2018-10-16 00:00:00+00:00,short,9.3618,10.5509,-0.1235443165,-1235.443165,30,Range/Chop,4
2018-10-16 00:00:00+00:00,2018-10-19 00:00:00+00:00,long,10.5509,9.922,-0.06250624372,-625.0624372,30,Range/Chop,3
2018-10-19 00:00:00+00:00,2018-11-07 00:00:00+00:00,short,9.922,9.8718,9.320313658e-05,0.9320313658,15,Range/Chop,19
2018-11-09 00:00:00+00:00,2018-12-05 00:00:00+00:00,short,9.6868,5.902,0.4754115527,4754.115527,15,Range/Chop,26
2018-12-26 00:00:00+00:00,2019-01-06 00:00:00+00:00,short,5.4432,5.9626,-0.1175106608,-1175.106608,15,Range/Chop,11
2019-01-11 00:00:00+00:00,2019-01-18 00:00:00+00:00,short,5.844,6.3152,-0.09650548847,-965.0548847,15,Range/Chop,7
2019-01-29 00:00:00+00:00,2019-02-02 00:00:00+00:00,short,6.1642,6.5185,-0.05807494425,-580.7494425,30,Range/Chop,4
2019-02-02 00:00:00+00:00,2019-02-26 00:00:00+00:00,long,6.5185,9.6967,0.4833310513,4833.310513,15,Range/Chop,24
2019-04-13 00:00:00+00:00,2019-04-30 00:00:00+00:00,long,18.2867,21.6847,0.1840703851,1840.703851,15,Range/Chop,17
2019-05-14 00:00:00+00:00,2019-06-05 00:00:00+00:00,long,23.521,29.2452,0.2415110435,2415.110435,15,Range/Chop,22
2019-06-06 00:00:00+00:00,2019-06-28 00:00:00+00:00,long,30.829,34.342,0.1122941866,1122.941866,15,Bull Trend,22
2019-06-30 00:00:00+00:00,2019-07-11 00:00:00+00:00,long,35.5111,31.222,-0.1222402841,-1222.402841,15,Range/Chop,11
2019-07-21 00:00:00+00:00,2019-07-22 00:00:00+00:00,long,31.1222,30.4389,-0.02345538876,-234.5538876,30,Bear Trend,1
2019-07-22 00:00:00+00:00,2019-08-08 00:00:00+00:00,short,30.4389,29.669,0.008363178814,83.63178814,30,Bear Trend,17
2019-08-08 00:00:00+00:00,2019-08-15 00:00:00+00:00,long,29.669,27.0065,-0.09234169786,-923.4169786,30,Range/Chop,7
2019-08-15 00:00:00+00:00,2019-09-19 00:00:00+00:00,short,27.0065,22.2018,0.166950799,1669.50799,15,Range/Chop,35
2019-09-20 00:00:00+00:00,2019-10-10 00:00:00+00:00,short,21.5281,17.7089,0.1422724127,1422.724127,15,Bear Trend,20
2019-10-12 00:00:00+00:00,2019-10-26 00:00:00+00:00,short,16.5666,18.6189,-0.1359492098,-1359.492098,15,Bear Trend,14
2019-11-19 00:00:00+00:00,2019-12-23 00:00:00+00:00,short,19.0817,13.7768,0.3091923852,3091.923852,15,Range/Chop,34
2019-12-31 00:00:00+00:00,2020-01-07 00:00:00+00:00,short,13.8597,14.9427,-0.08271052668,-827.1052668,15,Bear Trend,7
2020-02-24 00:00:00+00:00,2020-02-27 00:00:00+00:00,long,22.8267,18.7338,-0.1805749107,-1805.749107,15,Bull Trend,3
2020-03-06 00:00:00+00:00,2020-03-09 00:00:00+00:00,long,20.7463,16.8939,-0.186878485,-1868.78485,15,Range/Chop,3
2020-05-11 00:00:00+00:00,2020-05-14 00:00:00+00:00,short,15.3506,16.2187,-0.05792974207,-579.2974207,15,Range/Chop,3
2020-05-15 00:00:00+00:00,2020-05-16 00:00:00+00:00,long,16.3722,15.7121,-0.04181834451,-418.1834451,30,Range/Chop,1
2020-05-16 00:00:00+00:00,2020-05-18 00:00:00+00:00,short,15.7121,16.2999,-0.03970219501,-397.0219501,30,Range/Chop,2
2020-05-18 00:00:00+00:00,2020-05-25 00:00:00+00:00,long,16.2999,15.9457,-0.02460678368,-246.0678368,30,Range/Chop,7
2020-05-25 00:00:00+00:00,2020-05-26 00:00:00+00:00,short,15.9457,16.3807,-0.03028008178,-302.8008178,30,Range/Chop,1
2020-05-26 00:00:00+00:00,2020-06-12 00:00:00+00:00,long,16.3807,16.2376,-0.01174105398,-117.4105398,30,Range/Chop,17
2020-06-12 00:00:00+00:00,2020-07-07 00:00:00+00:00,short,16.2376,16.312,-0.01755054073,-175.5054073,30,Range/Chop,25
2020-07-07 00:00:00+00:00,2020-07-17 00:00:00+00:00,long,16.312,17.1647,0.04920918299,492.0918299,15,Bear Trend,10
2020-08-23 00:00:00+00:00,2020-09-04 00:00:00+00:00,long,22.201,20.4027,-0.08240101823,-824.0101823,30,Range/Chop,12
2020-09-04 00:00:00+00:00,2020-09-07 00:00:00+00:00,short,20.4027,23.1612,-0.1585012552,-1585.012552,30,Range/Chop,3
2020-09-07 00:00:00+00:00,2020-09-16 00:00:00+00:00,long,23.1612,27.1148,0.1670747519,1670.747519,15,Range/Chop,9
2020-09-22 00:00:00+00:00,2020-09-27 00:00:00+00:00,short,23.1273,26.1885,-0.1301250685,-1301.250685,30,Range/Chop,5
2020-09-27 00:00:00+00:00,2020-10-31 00:00:00+00:00,long,26.1885,28.4969,0.08488796486,848.8796486,15,Range/Chop,34
2020-11-07 00:00:00+00:00,2020-11-08 00:00:00+00:00,long,29.0391,27.7628,-0.04545108664,-454.5108664,30,Range/Chop,1
2020-11-08 00:00:00+00:00,2020-11-18 00:00:00+00:00,short,27.7628,28.5552,-0.03259219172,-325.9219172,30,Range/Chop,10
2020-11-18 00:00:00+00:00,2020-11-26 00:00:00+00:00,long,28.5552,31.295,0.09260697749,926.0697749,15,Range/Chop,8
2020-11-27 00:00:00+00:00,2020-11-30 00:00:00+00:00,short,28.2354,30.1003,-0.06497557144,-649.7557144,30,Range/Chop,3
