partition,selected_total_return,selected_sharpe,selected_trades,parent_total_return,parent_sharpe,parent_trades,increment_vs_parent
development_2018_2019,0.64552975993551187,1.2526206351571019,61,0.26937089172963335,0.56540048599247017,79,0.37615886820587852
validation_2020_2023,1.4858691846771679,1.3307428667956669,193,1.7135075398131221,1.1483481177697634,285,-0.22763835513595421
forward_2024_2026,0.15003881628682691,0.46188655304687137,131,0.1771934440333518,0.45219792059614078,178,-0.027154627746524884
