entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,note,asset
2018-10-16 00:00:00+00:00,2018-10-26 00:00:00+00:00,6752.5,6528.13,-0.033227693446871515,9985.0,9638.74164871159,-0.03467785190670103,,BTC
2019-02-10 00:00:00+00:00,2019-03-05 00:00:00+00:00,3665.18,3716.1,0.013892905669025825,9624.283536238523,9743.355810340134,0.012372066310522234,,BTC
2019-03-17 00:00:00+00:00,2019-06-05 00:00:00+00:00,4005.98,7687.04,0.918891257569933,9728.740776624623,18640.393029993964,0.9160129206835779,,BTC
2020-01-07 00:00:00+00:00,2020-01-26 00:00:00+00:00,7758.9,8340.01,0.07489592596888742,18612.432440448974,19976.418160905847,0.07328358207993424,,BTC
2020-01-29 00:00:00+00:00,2020-02-18 00:00:00+00:00,9375.34,9706.0,0.03526912090654844,19946.453533664488,20618.972493877653,0.033716217225188805,,BTC
2020-07-23 00:00:00+00:00,2020-08-26 00:00:00+00:00,9518.16,11318.42,0.18913949754994666,20588.044035136838,24445.33325496958,0.18735578830362187,,BTC
2020-10-11 00:00:00+00:00,2020-11-28 00:00:00+00:00,11293.22,17139.53,0.5176831762774479,24408.665255087126,36989.05368211406,0.5154066515130318,,BTC
2021-07-26 00:00:00+00:00,2021-09-08 00:00:00+00:00,35381.02,46868.57,0.32468114260131575,36933.57010159089,48851.81603675744,0.3226941208874139,,BTC
2021-10-05 00:00:00+00:00,2021-10-27 00:00:00+00:00,49224.93,60328.81,0.22557431772884182,48778.5383127023,59692.0512266817,0.22373595625224874,,BTC
2021-11-09 00:00:00+00:00,2021-11-17 00:00:00+00:00,67525.82,60058.87,-0.11057918289626106,59602.51314984168,52932.19837324779,-0.11191331412191652,,BTC
2022-02-08 00:00:00+00:00,2022-02-18 00:00:00+00:00,43839.99,40515.71,-0.07582757204096076,52852.80007568792,48771.83291952662,-0.07721383068289944,,BTC
2022-03-24 00:00:00+00:00,2022-04-07 00:00:00+00:00,42882.76,43170.47,0.006709223007101201,48698.67517014733,48951.86733385122,0.005199159172590839,,BTC
2022-08-11 00:00:00+00:00,2022-08-20 00:00:00+00:00,23954.05,20834.39,-0.13023517943729765,48878.43953285045,42448.97806889005,-0.1315398266681418,,BTC
