date,nfci,mean,std,z,risk_off_signal_close,risk_off_actionable
1974-01-04 00:00:00+00:00,1.607,1.0164679487179487,0.776308804701074,0.7606921983957685,False,False
1974-01-11 00:00:00+00:00,1.424,1.0229230769230768,0.777009831286344,0.5161799850240479,False,False
1974-01-18 00:00:00+00:00,1.228,1.028,0.7770265242286383,0.25739147090061293,False,False
1974-01-25 00:00:00+00:00,1.032,1.0315769230769232,0.7766521373380503,0.0005447444264132738,False,False
1974-02-01 00:00:00+00:00,0.848,1.0336410256410258,0.7762197389974465,-0.2391604030590576,False,False
1974-02-08 00:00:00+00:00,0.687,1.03425,0.7760353884930431,-0.4474667072519887,False,False
1974-02-15 00:00:00+00:00,0.561,1.0335512820512822,0.7763003101549895,-0.6087222636262204,False,False
1974-02-22 00:00:00+00:00,0.477,1.031775641025641,0.777066896889529,-0.7139354967330568,False,False
1974-03-01 00:00:00+00:00,0.44,1.029198717948718,0.7782424733675133,-0.7570888741129886,False,False
1974-03-08 00:00:00+00:00,0.455,1.0261089743589742,0.7796263916958037,-0.7325418693391419,False,False
1974-03-15 00:00:00+00:00,0.524,1.0228269230769231,0.7809534054372386,-0.6387409538186737,False,False
1974-03-22 00:00:00+00:00,0.645,1.0196538461538462,0.781974000507039,-0.47911291924145466,False,False
1974-03-29 00:00:00+00:00,0.816,1.0168782051282053,0.7825338359618355,-0.2567022611633144,False,False
1974-04-05 00:00:00+00:00,1.032,1.0147692307692309,0.7826296437685011,0.02201650470048635,False,False
1974-04-12 00:00:00+00:00,1.29,1.0135769230769232,0.7824596952494272,0.35327452468329457,False,False
1974-04-19 00:00:00+00:00,1.582,1.013551282051282,0.7824505120483961,0.7264979819114215,False,False
1974-04-26 00:00:00+00:00,1.904,1.0149423076923079,0.7832718000663348,1.1350564289846747,False,False
1974-05-03 00:00:00+00:00,2.247,1.0180128205128205,0.7858243502920951,1.5639464201260223,False,False
1974-05-10 00:00:00+00:00,2.606,1.0230256410256409,0.7911701333995472,2.0008014612135825,True,False
1974-05-17 00:00:00+00:00,2.975,1.0302628205128204,0.800458829004558,2.4295280519369546,True,True
1974-05-24 00:00:00+00:00,3.342,1.04,0.814781910262079,2.825295911711576,True,True
1974-05-31 00:00:00+00:00,3.702,1.0524294871794873,0.8348966179939884,3.173531256105281,True,True
1974-06-07 00:00:00+00:00,4.046,1.0676858974358974,0.8611858351357994,3.4583872389104684,True,True
1974-06-14 00:00:00+00:00,4.363,1.0857884615384614,0.8935243088168615,3.667736295614586,True,True
1974-06-21 00:00:00+00:00,4.645,1.1065833333333335,0.9312542216112726,3.7996248334256513,True,True
1974-06-28 00:00:00+00:00,4.879,1.1297564102564102,0.9733616267401629,3.8518506244179718,True,True
