asset,start,end,risk_off_days,risk_off_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2w,best_excluded,top_block_pct,sharpe,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,112,0.03578274760383387,2,43434.13470887351,46344.780518358595,39941.66037721917,84689.48713366143,39127.1899818483,43174.30879375995,45232.57856302369,6413.709809711726,1.1072643339364323,0.5914003841025064,-0.8118477145881702,15032.99363290963,15032.99363290963,1
ETH,2018-01-01,2026-07-27,112,0.03578274760383387,2,25272.419919637763,25741.27110993787,34753.85778180409,127304.60327323966,29108.905000794148,25121.23860391069,25210.467274027575,3097.472520840436,1.4519602993815062,0.5367027477157978,-0.9396550481981528,8268.923793334221,8268.923793334221,1
SOL,2020-08-11,2026-07-27,0,0.0,1,259570.99438561455,259570.99438561453,40615.94868993892,904985.4845900396,259570.99438561455,258793.4442287174,259570.99438561455,10000.0,1.0,1.0235231887372014,-0.9626992725584275,7272.683189136862,7272.683189136861,1
XRP,2018-05-04,2026-07-27,112,0.03724642500831393,2,26644.133469512395,21258.129805292065,22385.074054116783,37077.29762569797,18837.410356299395,26484.74647107152,27907.89482724771,4756.509036445332,1.315035383077127,0.5198959302107247,-0.8323958401465106,17268.992530700292,17268.992530700296,1
