timestamp,open,high,low,close,volume,source_symbol,atr14,rsi14,ema20,ema50,sma50,volume_mean20,bb_lower,bb_middle,bb_upper,bb_width,adx,plus_di,minus_di,drawdown_30,atr60_mean,bb_width20_median,volume20_mean,regime,range_rule_matched,warmup_complete
2018-01-01 00:00:00+00:00,733.01,763.55,716.8,754.99,53909.25885,ETHUSDT,,,754.99,754.99,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-02 00:00:00+00:00,754.99,899.5,749.06,855.28,113257.7835,ETHUSDT,,,764.5414286,758.9229412,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-03 00:00:00+00:00,855.13,950.01,810,934.03,89041.45688,ETHUSDT,,,780.6831973,765.7898847,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-04 00:00:00+00:00,934.03,1009.72,890.01,940,102894.4738,ETHUSDT,,,795.8562261,772.6216539,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-05 00:00:00+00:00,940,1045,930,959.3,97374.0163,ETHUSDT,,,811.4222998,779.9423733,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-06 00:00:00+00:00,958,1017.56,950,1004.11,71954.27895,ETHUSDT,,,829.7735094,788.7332607,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-07 00:00:00+00:00,1003.71,1125,999.9,1123.09,65278.81957,ETHUSDT,,,857.7084132,801.8452897,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-08 00:00:00+00:00,1123.09,1239.18,910,1133.18,158831.548,ETHUSDT,,,883.9438024,814.8388077,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-09 00:00:00+00:00,1133.18,1326.5,1104.85,1291,118702.8868,ETHUSDT,,,922.7110594,833.5117956,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-10 00:00:00+00:00,1291,1440,1201.1,1247,160185.0129,ETHUSDT,,,953.5957204,849.7270193,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-11 00:00:00+00:00,1249.03,1332.49,1021,1138.93,194546.2939,ETHUSDT,,,971.2466041,861.0683127,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-12 00:00:00+00:00,1136.45,1288.5,1069.01,1253.87,93763.47261,ETHUSDT,,,998.163118,876.4723004,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-13 00:00:00+00:00,1253.87,1427.01,1252,1388.02,75893.43201,ETHUSDT,,,1035.292345,896.5329945,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-14 00:00:00+00:00,1388.1,1391.89,1220.89,1347,98391.19585,ETHUSDT,136.8027907,,1064.978788,914.1983673,,,,,,,,27.94529345,9.153329425,,,,,Range/Chop,False,False
2018-01-15 00:00:00+00:00,1347.99,1383.13,1258.12,1271,69236.70476,ETHUSDT,135.9604486,81.39635095,1084.599856,928.1905882,,,,,,,,26.10996919,8.55217891,,,,,Range/Chop,False,False
2018-01-16 00:00:00+00:00,1268.67,1275.01,780,1000,343889.3651,ETHUSDT,161.6068451,65.5624711,1076.542727,931.0066436,,,,,,,,20.39738592,27.81346784,,,,,Range/Chop,False,False
2018-01-17 00:00:00+00:00,999.99,1075.51,755,1000,436333.6733,ETHUSDT,172.9570704,65.5624711,1069.252943,933.7122654,,,,,,,,17.6974731,25.16438167,,,,,Range/Chop,False,False
2018-01-18 00:00:00+00:00,1000,1075.2,924.21,994,294545.7121,ETHUSDT,171.387994,65.23661552,1062.085996,936.0764903,,,,,,,,16.58381722,23.58085268,,,,,Range/Chop,False,False
2018-01-19 00:00:00+00:00,993.3,1079,941,1032.5,167954.1125,ETHUSDT,169.0031373,66.39092064,1059.268282,939.8578044,,,,,,,,15.7771683,22.20549458,,,,,Range/Chop,False,False
2018-01-20 00:00:00+00:00,1032.5,1165.4,1031,1152.75,123352.5836,ETHUSDT,166.5314846,69.76753294,1068.171303,948.2065179,,146466.8041,757.4956735,1091.0025,1424.509326,0.6113768328,,18.57352865,20.92541984,,,,146466.8041,Range/Chop,False,False
2018-01-21 00:00:00+00:00,1150.37,1152.69,998,1049,175031.0079,ETHUSDT,165.68995,63.81082076,1066.345465,952.1592035,,152522.8915,808.8287059,1105.703,1402.577294,0.5369874082,,17.33444429,20.95205792,,,,152522.8915,Range/Chop,False,False
2018-01-22 00:00:00+00:00,1049,1090.15,908,993,185212.52,ETHUSDT,166.8656678,60.79367526,1059.360182,953.7608034,,156120.6283,833.406737,1112.589,1391.771263,0.5018605486,,15.98285708,23.17094398,,,,156120.6283,Range/Chop,False,False
2018-01-23 00:00:00+00:00,993,1030,909,980,160159.6396,ETHUSDT,163.5895487,60.0834489,1051.80207,954.7897915,,159676.5375,840.91504,1114.8875,1388.85996,0.4914800103,,15.13844158,21.94676334,,,,159676.5375,Range/Chop,False,False
2018-01-24 00:00:00+00:00,981.2,1074,953.09,1061,134257.7947,ETHUSDT,160.5410095,62.985076,1052.678063,958.9548977,,161244.7035,857.5401883,1120.9375,1384.334812,0.4699589616,,16.28172357,20.76612012,,,,161244.7035,Range/Chop,False,False
2018-01-25 00:00:00+00:00,1060.34,1115,1030.26,1056.52,119415.9349,ETHUSDT,155.1266517,62.7135399,1053.043962,962.7809801,,162346.7995,871.0668507,1125.7985,1380.530149,0.452535066,,17.53428846,19.95585085,,,,162346.7995,Range/Chop,False,False
2018-01-26 00:00:00+00:00,1055.29,1082,986,1051.03,145113.638,ETHUSDT,150.9033194,62.35875398,1052.852156,966.241726,,166004.7674,877.1013846,1128.1445,1379.187615,0.4450548939,,16.73751923,21.14404696,,,,166004.7674,Range/Chop,False,False
