timestamp,open,high,low,close,volume,source_symbol,atr14,rsi14,ema20,ema50,sma50,volume_mean20,bb_lower,bb_middle,bb_upper,bb_width,adx,plus_di,minus_di,drawdown_30,atr60_mean,bb_width20_median,volume20_mean,regime,range_rule_matched,warmup_complete
2018-05-04 00:00:00+00:00,0.5,1.5,0.5,0.8899,20890213.82,XRPUSDT,,,0.8899,0.8899,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-05 00:00:00+00:00,0.8898,0.935,0.888,0.9028,16816165.3,XRPUSDT,,,0.8911285714,0.8904058824,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-06 00:00:00+00:00,0.9028,0.918,0.83774,0.86483,16002035.8,XRPUSDT,,,0.8886239456,0.8894029066,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-07 00:00:00+00:00,0.86482,0.86886,0.8,0.8249,17303486.4,XRPUSDT,,,0.8825549984,0.8868733808,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-08 00:00:00+00:00,0.8249,0.84802,0.792,0.80667,12971303.18,XRPUSDT,,,0.8753278557,0.8837281502,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-09 00:00:00+00:00,0.80667,0.81894,0.7569,0.79481,13982375.89,XRPUSDT,,,0.8676594885,0.8802411639,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-10 00:00:00+00:00,0.79481,0.80572,0.74085,0.74558,10136895.73,XRPUSDT,,,0.8560328705,0.874960334,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-11 00:00:00+00:00,0.7492,0.75602,0.64758,0.6761,31292480.04,XRPUSDT,,,0.8388964067,0.8671618895,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-12 00:00:00+00:00,0.67376,0.71,0.62519,0.68522,18181151.11,XRPUSDT,,,0.8242605584,0.8600269134,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-13 00:00:00+00:00,0.68192,0.7501,0.66456,0.72999,17521261.77,XRPUSDT,,,0.81528241,0.8549274266,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-14 00:00:00+00:00,0.72999,0.7499,0.68585,0.72694,21771364.96,XRPUSDT,,,0.8068688471,0.8499083119,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-15 00:00:00+00:00,0.72695,0.74892,0.6801,0.689,12951988.45,XRPUSDT,,,0.7956432426,0.843598182,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-16 00:00:00+00:00,0.689,0.712,0.65756,0.70585,11182432.7,XRPUSDT,,,0.7870915052,0.8381962925,,,,,,,,,,,,,,Range/Chop,False,False
2018-05-17 00:00:00+00:00,0.70942,0.712,0.6482,0.65849,10070061.14,XRPUSDT,0.4248737578,,0.7748437428,0.8311489869,,,,,,,,0.5012076552,3.089772015,,,,,Range/Chop,False,False
2018-05-18 00:00:00+00:00,0.65849,0.68255,0.646,0.67766,10140675.13,XRPUSDT,0.3971363466,41.90131503,0.7655881483,0.825129811,,,,,,,,0.4979127919,3.109029315,,,,,Range/Chop,False,False
2018-05-19 00:00:00+00:00,0.67698,0.69139,0.6611,0.67339,6854397.75,XRPUSDT,0.3709330361,41.32991392,0.7568073723,0.8191792301,,,,,,,,0.665235681,3.090895026,,,,,Range/Chop,False,False
2018-05-20 00:00:00+00:00,0.67483,0.70659,0.668,0.6994,8055673.92,XRPUSDT,0.3471942478,46.14736739,0.7513400035,0.8144820054,,,,,,,,0.9726651808,3.066355935,,,,,Range/Chop,False,False
2018-05-21 00:00:00+00:00,0.6994,0.705,0.66666,0.67612,7908213.57,XRPUSDT,0.3251332301,42.76286442,0.7441761936,0.8090560444,,,,,,,,0.964472499,3.069966743,,,,,Range/Chop,False,False
2018-05-22 00:00:00+00:00,0.67612,0.67817,0.635,0.63782,7567010.71,XRPUSDT,0.3049929994,37.84519635,0.7340470323,0.8023409054,,,,,,,,0.9547213905,3.780397461,,,,,Range/Chop,False,False
2018-05-23 00:00:00+00:00,0.63782,0.64488,0.5731,0.59198,20078062.21,XRPUSDT,0.288334928,32.9597245,0.7205168388,0.7940914582,,14583862.48,0.5641139122,0.7328725,0.9016310878,0.4605401016,,0.9377446302,5.246609765,,,,14583862.48,Range/Chop,False,False
