timestamp,open,high,low,close,volume,source_symbol,atr14,rsi14,ema20,ema50,sma50,volume_mean20,bb_lower,bb_middle,bb_upper,bb_width,adx,plus_di,minus_di,drawdown_30,atr60_mean,bb_width20_median,volume20_mean,regime,range_rule_matched,warmup_complete
2018-01-01 00:00:00+00:00,8.5478,8.7,7.8,8.45,654338.84,BNBUSDT,,,8.45,8.45,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-02 00:00:00+00:00,8.45,9.1133,8.0922,8.715,1262633.42,BNBUSDT,,,8.475238095,8.460392157,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-03 00:00:00+00:00,8.7151,9.4697,8.2653,9.304,947392.65,BNBUSDT,,,8.5541678,8.493474817,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-04 00:00:00+00:00,9.304,9.6511,8.5595,9.143,964494.94,BNBUSDT,,,8.610247058,8.518946393,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-05 00:00:00+00:00,9.135,16.8172,8.9651,14.8908,2764977.04,BNBUSDT,,,9.208394957,8.768823005,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-06 00:00:00+00:00,14.8908,23.6,14.6999,22.6,3130487.22,BNBUSDT,,,10.48378591,9.311222103,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-07 00:00:00+00:00,22.6,22.6599,18.05,18.594,1543764.49,BNBUSDT,,,11.25618725,9.675252609,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-08 00:00:00+00:00,18.5375,19.2999,14.0018,17.9971,2112065.22,BNBUSDT,,,11.89817894,10.00159957,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-09 00:00:00+00:00,18.04,20.6114,16.435,17.399,1309277.95,BNBUSDT,,,12.42206666,10.2916937,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-10 00:00:00+00:00,17.3992,17.5554,14.6004,17.5,1172651.15,BNBUSDT,,,12.90567936,10.57437238,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-11 00:00:00+00:00,17.5,23.1079,13.66,21.2024,3542366.83,BNBUSDT,,,13.69584323,10.99115778,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-12 00:00:00+00:00,21.1022,25.18,19.1,22.1999,2902338.37,BNBUSDT,,,14.5057534,11.43071629,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-13 00:00:00+00:00,22.1999,23.4998,21.04,22.0246,1080455.71,BNBUSDT,,,15.22183403,11.84616271,,,,,,,,,,,,,,Range/Chop,False,False
2018-01-14 00:00:00+00:00,22.0252,22.1,18.21,20.4541,1384083.33,BNBUSDT,3.245160798,,15.72014507,12.18372888,,,,,,,,32.96986083,14.94326523,,,,,Range/Chop,False,False
2018-01-15 00:00:00+00:00,20.4546,23.231,19.0113,19.3396,2288556.77,BNBUSDT,3.314770741,67.56662061,16.06485507,12.46435128,,,,,,,,32.40910406,13.58449648,,,,,Range/Chop,False,False
2018-01-16 00:00:00+00:00,19.4376,19.4475,9.89,13.1996,9933431.45,BNBUSDT,3.760679973,49.2077967,15.79197363,12.49318456,,,,,,,,26.52585927,28.44305892,,,,,Range/Chop,False,False
2018-01-17 00:00:00+00:00,13.0262,15.7,9.4001,14.1998,9971697.17,BNBUSDT,3.942052832,51.51874218,15.64033805,12.56011066,,,,,,,,23.49788179,26.08391052,,,,,Range/Chop,False,False
