asset,start,end,trades,final,buy_hold,dca,random,double_cost,delay_2d,best_excluded,top_trade_pct,sharpe,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,22,11573.698239111764,46344.780518358595,39941.66037721917,5265.19452136991,10834.49238145541,11416.592031555872,10162.050618139383,0.9745778354534663,0.20860519243512768,-0.21227316851664602,9012.578999681124,15032.99363290963,12
ETH,2018-01-01,2026-07-27,22,8264.221055334856,25741.27110993787,34753.85778180409,7913.709535378858,7736.3897185521055,8600.907752896626,7210.189242794932,0.7153512290039804,-0.07573290422132517,-0.3612909648334812,7210.2521880206405,8268.923793334221,12
SOL,2020-08-11,2026-07-27,22,17063.189805417034,259570.99438561453,40615.94868993892,10187.73103495885,15973.373085309206,17280.69091771685,13765.315528290437,0.4019284436711283,0.5036772033603222,-0.3007553211859586,11616.745552013685,7272.683189136861,12
XRP,2018-05-04,2026-07-27,22,12689.549658995697,21258.129805292065,22385.074054116783,9908.195803378985,11879.074973622295,11670.371965471108,11292.692475039219,0.46470023657520426,0.2636717273226985,-0.22345786720588223,11176.338445433308,17268.992530700296,12
