asset,partition,n_trades,strategy_final_relative,bh_final
BTC,development,131,0.4975591932669905,3.416135400890383
BTC,validation,47,0.9965025853013113,1.345418276226511
BTC,test,25,1.024216195255426,1.0130914341021158
ETH,development,167,0.17653097364979126,5.052403727220252
ETH,validation,70,0.47584870327969486,0.923481885770768
ETH,test,64,0.6195975573167923,0.5496715093144972
SOL,development,73,3.5135696772661675,57.59444350330341
SOL,validation,125,0.6216827988575488,0.8505046989209886
SOL,test,69,0.8297233975580665,0.5019278901440843
XRP,development,146,0.23625548528499496,0.898916576381365
XRP,validation,98,1.4028248694128267,0.5671232876712329
XRP,test,62,1.5130707535525219,2.239705882352941
