rebalance_date,entry_date,exit_date,n_eligible,n_long,long_names,weighted_return,turnover_frac,cost,capital_before,capital_after,net_pnl
2020-04-01 00:00:00+00:00,2020-04-02 00:00:00+00:00,2020-04-09 00:00:00+00:00,32,3,"ENJ,DOGE,DASH",0.08786272300984202,0.5,15.0,10000.0,10863.627230098422,863.6272300984219
2020-04-08 00:00:00+00:00,2020-04-09 00:00:00+00:00,2020-04-16 00:00:00+00:00,32,3,"ENJ,DASH,XLM",-0.07304131216584882,0.3333333333333333,10.863627230098421,10863.627230098422,10059.270015101289,-804.3572149971333
2020-04-15 00:00:00+00:00,2020-04-16 00:00:00+00:00,2020-04-23 00:00:00+00:00,32,3,"ENJ,LINK,DASH",0.18347503469224297,0.3333333333333333,10.059270015101289,10059.270015101289,11894.835660085535,1835.5656449842463
2020-04-22 00:00:00+00:00,2020-04-23 00:00:00+00:00,2020-04-30 00:00:00+00:00,32,3,"LINK,ENJ,XTZ",0.1937846318281852,0.3333333333333333,11.894835660085535,11894.835660085535,14187.977173471894,2293.1415133863593
2020-04-29 00:00:00+00:00,2020-04-30 00:00:00+00:00,2020-05-07 00:00:00+00:00,32,3,"XTZ,XLM,LINK",-0.06928351863252856,0.3333333333333333,14.187977173471893,14187.977173471894,13190.796215442293,-997.1809580296012
2020-05-06 00:00:00+00:00,2020-05-07 00:00:00+00:00,2020-05-14 00:00:00+00:00,32,3,"THETA,ZIL,XLM",0.152693717895775,0.6666666666666666,26.381592430884584,13190.796215442293,15178.566339152812,1987.7701237105193
2020-05-13 00:00:00+00:00,2020-05-14 00:00:00+00:00,2020-05-21 00:00:00+00:00,32,3,"THETA,ENJ,ZIL",0.2320144909112543,0.3333333333333333,15.178566339152813,15178.566339152812,18685.0351147549,3506.4687756020885
2020-05-20 00:00:00+00:00,2020-05-21 00:00:00+00:00,2020-05-28 00:00:00+00:00,32,3,"THETA,ZIL,POL",0.20335297098559374,0.3333333333333333,18.6850351147549,18685.0351147549,22466.0074831957,3780.972368440798
2020-05-27 00:00:00+00:00,2020-05-28 00:00:00+00:00,2020-06-04 00:00:00+00:00,32,3,"THETA,ZIL,POL",0.07014029337886436,0.0,0.0,22466.0074831957,24041.779839118808,1575.772355923109
2020-06-03 00:00:00+00:00,2020-06-04 00:00:00+00:00,2020-06-11 00:00:00+00:00,32,3,"ZIL,THETA,VET",0.21645287584753592,0.3333333333333333,24.04177983911881,24041.779839118808,29221.650445950265,5179.870606831457
2020-06-10 00:00:00+00:00,2020-06-11 00:00:00+00:00,2020-06-18 00:00:00+00:00,32,3,"ZIL,VET,THETA",-0.05548305927584562,0.0,0.0,29221.650445950265,27600.343882119567,-1621.306563830698
2020-06-17 00:00:00+00:00,2020-06-18 00:00:00+00:00,2020-06-25 00:00:00+00:00,32,3,"ZIL,VET,IOST",-0.017876794550887122,0.3333333333333333,27.600343882119567,27600.343882119567,27079.33786112296,-521.0060209966068
