entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return
2019-01-12 00:00:00+00:00,2019-04-12 00:00:00+00:00,3601.31,5017.37,0.3932069163720979,9985.0,13890.304303385434,0.3911171059975398
2019-12-23 00:00:00+00:00,2020-03-22 00:00:00+00:00,7500.71,6187.04,-0.1751394201348939,13869.468846930356,11423.21754832675,-0.17637671100469154
2020-04-26 00:00:00+00:00,2020-07-25 00:00:00+00:00,7539.03,9538.1,0.2651627596653682,11406.08272200426,14408.90526690207,0.26326501552587
2020-12-04 00:00:00+00:00,2021-03-04 00:00:00+00:00,19422.34,50349.37,1.5923431471182155,14387.291909001717,37240.85238951112,1.5884546323975388
2021-04-27 00:00:00+00:00,2021-07-26 00:00:00+00:00,54001.38,35381.02,-0.34481266960214724,37184.99111092686,24326.590354250802,-0.34579545059774397
2021-08-09 00:00:00+00:00,2021-11-07 00:00:00+00:00,43794.36,61470.62,0.40361955283739737,24290.10046871943,34042.91886834201,0.4015141235081414
2022-07-06 00:00:00+00:00,2022-10-04 00:00:00+00:00,20175.84,19629.08,-0.02709973909388647,33991.8544900395,33021.07807588902,-0.028559089485245437
2023-01-16 00:00:00+00:00,2023-04-16 00:00:00+00:00,20872.99,30295.1,0.45140202721315903,32971.546458775185,47783.18691656324,0.4492249241723396
2023-07-16 00:00:00+00:00,2023-10-14 00:00:00+00:00,30289.52,26862.0,-0.1131586106349655,47711.512136188394,42249.07489599668,-0.11448887271901298
2024-06-19 00:00:00+00:00,2024-09-17 00:00:00+00:00,65175.32,58213.99,-0.10680929529766792,42185.701283652685,37623.356443520956,-0.10814908135472134
2024-10-13 00:00:00+00:00,2025-01-11 00:00:00+00:00,63206.23,94726.1,0.49868296210674173,37566.92140885568,56216.45369667362,0.4964349376635817
2025-02-04 00:00:00+00:00,2025-05-05 00:00:00+00:00,101328.51,94277.61,-0.06958456213359887,56132.12901612861,52147.86009781925,-0.07098018529039851
2025-05-23 00:00:00+00:00,2025-08-21 00:00:00+00:00,111696.22,114271.23,0.023053689730950563,52069.638307672525,53190.13054023,0.021519109196354247
2025-11-30 00:00:00+00:00,2026-02-28 00:00:00+00:00,90802.44,65872.09,-0.27455594805602146,53110.34534441966,38470.79125060961,-0.2756441141339374
2026-02-28 00:00:00+00:00,2026-05-29 00:00:00+00:00,65872.09,73617.52,0.11758287918297428,38413.0850637337,42865.41149452227,0.11590650486419984
