date,oil_vol,mean,std,z,risk_off_signal_close,risk_off_actionable
2008-05-09 00:00:00+00:00,37.43,32.751150793650794,4.865485962417055,0.9616406752563864,False,False
2008-05-12 00:00:00+00:00,37.55,32.792182539682535,4.861151839798296,0.9787428200380751,False,False
2008-05-13 00:00:00+00:00,38.11,32.83638888888889,4.853528807785476,1.0865519336470786,False,False
2008-05-14 00:00:00+00:00,36.8,32.87956349206349,4.851849711752696,0.8080292549952619,False,False
2008-05-15 00:00:00+00:00,38.77,32.914920634920634,4.8478076116007704,1.2077788217230825,False,False
2008-05-16 00:00:00+00:00,38.17,32.961349206349205,4.847633234186201,1.0744729524747558,False,False
2008-05-19 00:00:00+00:00,38.51,33.014166666666675,4.831495988413498,1.1375013756635595,False,False
2008-05-20 00:00:00+00:00,37.46,33.068928571428565,4.815178115265329,0.9119229493610282,False,False
2008-05-21 00:00:00+00:00,38.69,33.119682539682536,4.7936550754599265,1.1620188296053025,False,False
2008-05-22 00:00:00+00:00,40.11,33.16992063492064,4.785390365461457,1.450263998349928,False,False
2008-05-23 00:00:00+00:00,38.61,33.22452380952381,4.785765848055966,1.1253112587327758,False,False
2008-05-27 00:00:00+00:00,40.74,33.27206349206349,4.779495683852908,1.5624946651100153,False,False
2008-05-28 00:00:00+00:00,40.52,33.33130952380952,4.779163551753682,1.5041733555137777,False,False
2008-05-29 00:00:00+00:00,41.38,33.38166666666667,4.787814587669029,1.670560375068192,False,False
2008-05-30 00:00:00+00:00,42.3,33.43234126984127,4.8046593913756865,1.8456373298960767,False,False
2008-06-02 00:00:00+00:00,43.1,33.487341269841274,4.8265625914109815,1.9916158856542654,False,False
2008-06-03 00:00:00+00:00,41.75,33.54968253968254,4.848899564896229,1.6911708214548165,False,False
2008-06-04 00:00:00+00:00,40.77,33.60678571428572,4.860434578158622,1.4737806199272143,False,False
2008-06-05 00:00:00+00:00,41.37,33.662619047619046,4.86159118092753,1.5853618014237227,False,False
2008-06-06 00:00:00+00:00,52.03,33.72384920634921,4.861107691988203,3.765839383443805,True,False
2008-06-09 00:00:00+00:00,45.57,33.82670634920635,4.972314092586866,2.3617360915114993,True,True
2008-06-10 00:00:00+00:00,48.13,33.90234126984127,5.005427300914891,2.8424463836600324,True,True
2008-06-11 00:00:00+00:00,48.4,33.99019841269841,5.060000901563369,2.847786367557651,True,True
2008-06-12 00:00:00+00:00,50.17,34.07984126984127,5.114313790959011,3.146103150456395,True,True
2008-06-13 00:00:00+00:00,49.19,34.17547619047619,5.188724537122774,2.8936829662284573,True,True
2008-06-16 00:00:00+00:00,50.45,34.26611111111111,5.2505989750853015,3.082293842223205,True,True
2008-06-17 00:00:00+00:00,48.51,34.36150793650794,5.325153656195104,2.6569171477394233,True,True
2008-06-18 00:00:00+00:00,46.15,34.44626984126984,5.379626645337963,2.1755655048799207,True,True
2008-06-19 00:00:00+00:00,46.62,34.52337301587302,5.407616007834985,2.2369611611846,True,True
2008-06-20 00:00:00+00:00,47.16,34.600674603174596,5.440781664502502,2.3083678359612705,True,True
2008-06-23 00:00:00+00:00,44.29,34.67670634920634,5.481893181526308,1.7536448326264278,True,True
2008-06-24 00:00:00+00:00,44.49,34.74071428571428,5.499639564947584,1.7727135749810974,True,True
