strategy,n_trades,final_capital,total_return,sharpe,max_drawdown,win_rate
Residual momentum tercile (long top 1/3),337,78083.71350345568,6.808371350345569,0.7717940219129841,-0.7446801963032705,0.5192878338278932
"Raw momentum tercile (long top 1/3, no beta-adjust)",342,123809.38525275468,11.380938525275468,0.8512055255560033,-0.7754964740875187,0.5233918128654971
Equal-weight 30-asset buy-and-hold,1,62242.331919198725,5.224233191919873,0.7623971027225882,-0.8538202611828922,
BTC buy-and-hold,1,88539.35299304944,7.853935299304943,0.8569644361165474,-0.7662925431645935,
ETH buy-and-hold,1,144722.0310468762,13.472203104687619,0.9135544002606897,-0.7930253453633335,
SOL buy-and-hold,1,224950.73518265877,21.495073518265876,1.0237407470335715,-0.9626992725584276,
XRP buy-and-hold,1,55224.03522403523,4.522403522403523,0.743491684223874,-0.8323958401465105,
