asset,partition,n_blocks,strategy_final,bh_final,strategy_beats_bh
BTC,development,1,0.5861753046812442,0.5377600896860987,True
BTC,validation,1,0.53562239799791,2.297284348375539,False
BTC,test,2,1.3866355620470516,3.8368429446191343,False
ETH,development,1,0.3489561945773904,0.17107511357766328,True
ETH,validation,1,0.49945662081701636,9.146822665749026,False
ETH,test,2,1.1090670495724189,1.5766616125431128,False
SOL,validation,1,1.2764200504219199,3.0225860239502804,False
SOL,test,2,2.758102482036979,7.4274274274274275,False
XRP,development,1,0.46916013214698693,0.21682211484436453,True
XRP,validation,1,0.2953388124225133,1.7555037555037554,False
XRP,test,2,0.4637831805697428,3.147623265426631,False
