asset,start,end,risk_on_days,risk_on_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2d,best_excluded,top_block_pct,sharpe,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,1502,0.47987220447284346,60,36817.97557202341,46344.780518358595,39941.66037721917,84689.48713366143,10352.593166564875,30752.929178073697,51097.82171346271,11684.56726756237,0.8343539877986712,0.5774087060465738,-0.6334142876781377,8623.1917262587,15032.99363290963,28
ETH,2018-01-01,2026-07-27,1502,0.47987220447284346,60,33601.37872591092,25741.27110993787,34753.85778180409,127304.60327323966,38868.86719608064,28066.204189367956,62572.18158451316,9394.732592111523,1.0454759250375494,0.5370415053413663,-0.7084688451549108,5175.029596615641,8268.923793334221,28
SOL,2020-08-11,2026-07-27,814,0.37390904915020673,53,27682.757427062974,259570.99438561453,40615.94868993892,904985.4845900396,60801.39894523592,23613.271580206016,64022.35183077273,5997.961774064966,1.6024763353312008,0.541655119070216,-0.7668283202007418,5166.179358751252,7272.683189136861,28
XRP,2018-05-04,2026-07-27,1481,0.49251745926172263,58,6626.48725109713,21258.129805292065,22385.074054116783,37077.29762569797,25626.197564281712,5568.2115928760795,13221.287951799317,4019.385947815165,1.9758393792360824,0.21196028989622548,-0.7230336829013695,7603.895019558464,17268.992530700296,28
