date,tlt,sma200_prior,risk_on_signal_close,risk_on_actionable
2003-05-15 00:00:00+00:00,42.19361877441406,38.86885431289673,True,False
2003-05-16 00:00:00+00:00,42.50200653076172,38.90204410552978,True,True
2003-05-19 00:00:00+00:00,42.356876373291016,38.93457326889038,True,True
2003-05-20 00:00:00+00:00,42.982669830322266,38.965351810455324,True,True
2003-05-21 00:00:00+00:00,42.97819519042969,38.997405681610104,True,True
2003-05-22 00:00:00+00:00,43.359107971191406,39.02863019943237,True,True
2003-05-23 00:00:00+00:00,43.467926025390625,39.06332939147949,True,True
2003-05-27 00:00:00+00:00,42.68341064453125,39.09813661575318,True,True
2003-05-28 00:00:00+00:00,42.61085510253906,39.12902126312256,True,True
2003-05-29 00:00:00+00:00,42.982669830322266,39.156969871521,True,True
2003-05-30 00:00:00+00:00,42.90110397338867,39.18564352035523,True,True
2003-06-02 00:00:00+00:00,42.58592987060547,39.211619510650635,True,True
2003-06-03 00:00:00+00:00,42.927513122558594,39.23529991149903,True,True
2003-06-04 00:00:00+00:00,43.05500793457031,39.26234560012817,True,True
2003-06-05 00:00:00+00:00,42.7180290222168,39.29212236404419,True,True
2003-06-06 00:00:00+00:00,42.87285232543945,39.31964719772339,True,True
2003-06-09 00:00:00+00:00,43.15977096557617,39.3458744430542,True,True
2003-06-10 00:00:00+00:00,43.67439270019531,39.374539394378665,True,True
2003-06-11 00:00:00+00:00,43.619712829589844,39.4074130821228,True,True
2003-06-12 00:00:00+00:00,43.9613037109375,39.43818151473999,True,True
2003-06-13 00:00:00+00:00,44.257328033447266,39.47048334121704,True,True
2003-06-16 00:00:00+00:00,43.83832550048828,39.505442962646484,True,True
2003-06-17 00:00:00+00:00,43.4921989440918,39.53736970901489,True,True
2003-06-18 00:00:00+00:00,42.93662643432617,39.56606119155884,True,True
2003-06-19 00:00:00+00:00,42.85464096069336,39.590840873718264,True,True
2003-06-20 00:00:00+00:00,42.69522476196289,39.61229112625122,True,True
2003-06-23 00:00:00+00:00,42.950286865234375,39.63298799514771,True,True
2003-06-24 00:00:00+00:00,43.346492767333984,39.653909053802494,True,True
2003-06-25 00:00:00+00:00,42.65426254272461,39.679088802337645,True,True
2003-06-26 00:00:00+00:00,42.08039474487305,39.70109228134155,True,True
2003-06-27 00:00:00+00:00,41.93011474609375,39.71930641174316,True,True
2003-06-30 00:00:00+00:00,42.12599182128906,39.73777671813965,True,True
2003-07-01 00:00:00+00:00,41.91706848144531,39.75573684692383,True,True
2003-07-02 00:00:00+00:00,42.022186279296875,39.77087844848633,True,True
2003-07-03 00:00:00+00:00,41.418739318847656,39.78621711730957,True,True
2003-07-07 00:00:00+00:00,41.153602600097656,39.79816623687744,True,True
2003-07-08 00:00:00+00:00,41.190155029296875,39.808746089935305,True,True
2003-07-09 00:00:00+00:00,41.32276153564453,39.81819456100464,True,True
2003-07-10 00:00:00+00:00,41.30903244018555,39.829225845336914,True,True
2003-07-11 00:00:00+00:00,41.505619049072266,39.83843629837036,True,True
2003-07-14 00:00:00+00:00,41.03014373779297,39.84735946655273,True,True
2003-07-15 00:00:00+00:00,40.07012176513672,39.85631435394287,True,True
2003-07-16 00:00:00+00:00,40.2987174987793,39.86092914581299,True,True
2003-07-17 00:00:00+00:00,40.175262451171875,39.86521945953369,True,True
2003-07-18 00:00:00+00:00,40.09294128417969,39.8681040763855,True,True
2003-07-21 00:00:00+00:00,39.242652893066406,39.87303268432617,False,True
