date,sp500,sma200_prior,risk_on_signal_close,risk_on_actionable
2017-06-22 00:00:00+00:00,2434.5,2284.36335,True,False
2017-06-23 00:00:00+00:00,2438.3,2285.60345,True,True
2017-06-26 00:00:00+00:00,2439.07,2286.86415,True,True
2017-06-27 00:00:00+00:00,2419.38,2288.153,True,True
2017-06-28 00:00:00+00:00,2440.69,2289.61085,True,True
2017-06-29 00:00:00+00:00,2419.7,2291.0191,True,True
2017-06-30 00:00:00+00:00,2423.41,2292.4825,True,True
2017-07-03 00:00:00+00:00,2429.01,2293.9707,True,True
2017-07-05 00:00:00+00:00,2432.54,2295.37945,True,True
2017-07-06 00:00:00+00:00,2409.75,2296.8463500000003,True,True
2017-07-07 00:00:00+00:00,2425.18,2298.1995,True,True
2017-07-10 00:00:00+00:00,2427.43,2299.6266,True,True
2017-07-11 00:00:00+00:00,2425.53,2300.94815,True,True
2017-07-12 00:00:00+00:00,2443.25,2302.1899,True,True
2017-07-13 00:00:00+00:00,2447.83,2303.5827,True,True
2017-07-14 00:00:00+00:00,2459.27,2305.09135,True,True
2017-07-17 00:00:00+00:00,2459.14,2306.58805,True,True
2017-07-18 00:00:00+00:00,2460.61,2308.0269,True,True
2017-07-19 00:00:00+00:00,2473.83,2309.5742999999998,True,True
2017-07-20 00:00:00+00:00,2473.45,2311.1021,True,True
2017-07-21 00:00:00+00:00,2472.54,2312.66335,True,True
2017-07-24 00:00:00+00:00,2469.91,2314.2736,True,True
2017-07-25 00:00:00+00:00,2477.13,2315.8244999999997,True,True
2017-07-26 00:00:00+00:00,2477.83,2317.4063,True,True
2017-07-27 00:00:00+00:00,2475.42,2319.02675,True,True
2017-07-28 00:00:00+00:00,2472.1,2320.58555,True,True
2017-07-31 00:00:00+00:00,2470.3,2322.2624,True,True
2017-08-01 00:00:00+00:00,2476.35,2323.918,True,True
2017-08-02 00:00:00+00:00,2477.57,2325.637,True,True
2017-08-03 00:00:00+00:00,2472.16,2327.35995,True,True
2017-08-04 00:00:00+00:00,2476.83,2329.08825,True,True
2017-08-07 00:00:00+00:00,2480.91,2330.7744000000002,True,True
2017-08-08 00:00:00+00:00,2474.92,2332.4575,True,True
2017-08-09 00:00:00+00:00,2474.02,2334.1254,True,True
2017-08-10 00:00:00+00:00,2438.21,2335.7897,True,True
2017-08-11 00:00:00+00:00,2441.32,2337.2241,True,True
2017-08-14 00:00:00+00:00,2465.84,2338.7149,True,True
2017-08-15 00:00:00+00:00,2464.61,2340.34695,True,True
2017-08-16 00:00:00+00:00,2468.11,2342.0048,True,True
2017-08-17 00:00:00+00:00,2430.01,2343.7133,True,True
2017-08-18 00:00:00+00:00,2425.55,2345.2326000000003,True,True
2017-08-21 00:00:00+00:00,2428.37,2346.80175,True,True
