asset,start,end,risk_off_days,risk_off_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2d,best_excluded,top_block_pct,sharpe,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,221,0.0706070287539936,13,28591.132249883925,46344.780518358595,39941.66037721917,84689.48713366143,60295.99964452422,27497.536086468706,32953.641054970256,19853.332457502973,0.9684139023785595,0.5208872417407273,-0.8118477145881702,12197.729933346278,15032.99363290963,8
ETH,2018-01-01,2026-07-27,221,0.0706070287539936,13,19099.92643411552,25741.27110993787,34753.85778180409,127304.60327323966,8761.453167760093,18369.364031503916,21553.540381832234,10145.717599437223,2.056652250962504,0.5093985274798817,-0.9396550481981528,7162.821985817568,8268.923793334221,8
SOL,2020-08-11,2026-07-27,221,0.10151584749655489,13,141886.61658218657,259570.99438561453,40615.94868993892,904985.4845900396,39067.34431852647,136459.52617603884,186747.71886796472,34331.35974742273,1.9828490822467861,0.9311548576162773,-0.957075325269548,6418.442245556271,7272.683189136861,8
XRP,2018-05-04,2026-07-27,221,0.0734951779181909,13,13730.944496152626,21258.129805292065,22385.074054116783,37077.29762569797,37870.32004328424,13205.742902531907,16192.168705138198,3064.1980758467744,8.49380497195845,0.4432753709945624,-0.8499224634470537,12256.330776636683,17268.992530700296,8
