asset,n_triggers,n_trades,primary_final,delayed_final,doubled_cost_final,bh_final,random_control_final,excl_best_trade_final,top_trade_pct_of_pnl,sharpe_primary,sharpe_delayed,delay_sharpe_retention,beats_bh,beats_random_control,beats_bh_doubled_cost,beats_bh_excl_best_trade,concentration_ok,delay_robust
BTC,83,78,1.2731136392763696,0.5634328935390509,1.0074922837067604,9.35795778958199,2.1220044015258166,1.0449013147727406,0.4645495464359659,0.6616369606092305,-0.48334999833761016,-0.7305365738524416,False,False,False,False,False,False
ETH,79,77,1.5098731851414868,1.0647526383486672,1.1984444823320277,4.999022663637804,1.0272425191360988,1.2247169468946548,0.2909089617643525,0.8801327523967669,0.466640792994317,0.5301936460421072,False,True,False,False,False,True
SOL,47,47,1.0928110383224887,0.5227313895805034,0.9490940039170195,36.55352480417755,1.3960269066836366,0.7347992550624427,1.328288558060276,0.5855886075363067,-0.5421471319643467,-0.925815709163593,False,False,False,False,False,False
XRP,68,57,8.371969552221355,4.557877739372616,7.056070216431989,2.4807446189645144,0.6128825549720949,4.000220997708015,0.386969706957875,2.3068827493120194,1.686143571385812,0.7309186268303709,True,True,True,True,False,True
