asset,partition,n_trades,strategy_final,bh_final,strategy_beats_bh
BTC,development,40,1.8517167640110654,4.325268860606398,False
BTC,validation,29,0.7860019450468557,2.897980791713173,False
BTC,test,9,0.8747198695906107,0.6650718926185474,True
ETH,development,37,1.9053923251469398,4.790638702519943,False
ETH,validation,25,1.186848274064969,1.663379661593572,False
ETH,test,15,0.6676684554627123,0.5180358472386458,True
SOL,development,22,0.9449943116459573,9.26646632839056,False
SOL,validation,16,1.0616967192014126,7.80346232179226,False
SOL,test,9,1.0892194891789377,0.514242151223231,True
XRP,development,27,6.326076589116755,0.8560791157649796,True
XRP,validation,18,1.6670519736937468,5.875998968806393,False
XRP,test,12,0.7938602463410876,0.4763628239499553,True
