strategy,final_usd_value,final_cash_usd,final_eth_units,final_eth_equivalent,final_eth_close,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,excess_eth_vs_daily,excess_eth_vs_weekly,check
eth_etf_spread_d80_l55_h48,10072.857068525,10072.857068525,0,5.3224292711476169,1892.53,3,18004.959933111644,108.02975959866987,10072.857068525,0.0072857068525000734,0.062425974984321897,0.77706516824714633,0.78053790687543323,nearby_parameters
eth_etf_spread_d80_l55_h72,10519.543057887046,10519.543057887046,0,5.5584551145223831,1892.53,2,11510.101310529077,69.060607863174454,10519.543057887046,0.051954305788704636,0.030555581042246649,1.0130910116219125,1.0165637502501994,nearby_parameters
eth_etf_spread_d80_l55_h96,10367.234436541441,10367.234436541441,0,5.4779762733174326,1892.53,2,11490.365332917836,68.942191997507024,10367.234436541441,0.03672344365414415,0.050056883311597078,0.93261217041696209,0.93608490904524899,nearby_parameters
eth_etf_spread_d80_l60_h48,10088.29403464337,10088.29403464337,0,5.3305860592135232,1892.53,2,12569.332660653603,75.415995963921631,10088.29403464337,0.0088294034643370267,0.062431434613688719,0.78522195631305269,0.78869469494133959,nearby_parameters
eth_etf_spread_d80_l60_h72,10556.278756109647,10556.278756109647,0,5.5778660079944027,1892.53,1,6076.6961651916763,36.460176991150057,10556.278756109647,0.055627875610964717,0.030559904381285419,1.0325019050939321,1.035974643722219,nearby_parameters
eth_etf_spread_d80_l60_h96,10424.353687696352,10424.353687696352,0,5.5081576977360207,1892.53,1,6076.6961651916763,36.460176991150057,10424.353687696352,0.042435368769635273,0.050064273083910149,0.96279359483555016,0.96626633346383706,nearby_parameters
eth_etf_spread_d80_l65_h48,10220.362024865353,10220.362024865353,0,5.4003698883850468,1892.53,1,6076.6961651916763,36.460176991150057,10220.362024865353,0.022036202486535261,0.029654158027899613,0.85500578548457629,0.85847852411286318,nearby_parameters
eth_etf_spread_d80_l65_h72,10452.770103278253,10452.770103278253,0,5.5231727387561911,1892.53,1,6076.6961651916763,36.460176991150057,10452.770103278253,0.045277010327825273,0.029654158027899613,0.97780863585572053,0.98128137448400743,nearby_parameters
eth_etf_spread_d80_l65_h96,10224.887824081159,10224.887824081159,0,5.4027612899563859,1892.53,1,6076.6961651916763,36.460176991150057,10224.887824081159,0.022488782408115915,0.049123116149214274,0.85739718705591539,0.86086992568420229,nearby_parameters
eth_etf_spread_d100_l55_h48,10072.857068525,10072.857068525,0,5.3224292711476169,1892.53,3,18004.959933111644,108.02975959866987,10072.857068525,0.0072857068525000734,0.062425974984321897,0.77706516824714633,0.78053790687543323,nearby_parameters
eth_etf_spread_d100_l55_h72,10519.543057887046,10519.543057887046,0,5.5584551145223831,1892.53,2,11510.101310529077,69.060607863174454,10519.543057887046,0.051954305788704636,0.030555581042246649,1.0130910116219125,1.0165637502501994,nearby_parameters
eth_etf_spread_d100_l55_h96,10367.234436541441,10367.234436541441,0,5.4779762733174326,1892.53,2,11490.365332917836,68.942191997507024,10367.234436541441,0.03672344365414415,0.050056883311597078,0.93261217041696209,0.93608490904524899,nearby_parameters
eth_etf_spread_d100_l60_h48,10088.29403464337,10088.29403464337,0,5.3305860592135232,1892.53,2,12569.332660653603,75.415995963921631,10088.29403464337,0.0088294034643370267,0.062431434613688719,0.78522195631305269,0.78869469494133959,nearby_parameters
eth_etf_spread_d100_l60_h72,10556.278756109647,10556.278756109647,0,5.5778660079944027,1892.53,1,6076.6961651916763,36.460176991150057,10556.278756109647,0.055627875610964717,0.030559904381285419,1.0325019050939321,1.035974643722219,nearby_parameters
eth_etf_spread_d100_l60_h96,10424.353687696352,10424.353687696352,0,5.5081576977360207,1892.53,1,6076.6961651916763,36.460176991150057,10424.353687696352,0.042435368769635273,0.050064273083910149,0.96279359483555016,0.96626633346383706,nearby_parameters
eth_etf_spread_d100_l65_h48,10220.362024865353,10220.362024865353,0,5.4003698883850468,1892.53,1,6076.6961651916763,36.460176991150057,10220.362024865353,0.022036202486535261,0.029654158027899613,0.85500578548457629,0.85847852411286318,nearby_parameters
eth_etf_spread_d100_l65_h72,10452.770103278253,10452.770103278253,0,5.5231727387561911,1892.53,1,6076.6961651916763,36.460176991150057,10452.770103278253,0.045277010327825273,0.029654158027899613,0.97780863585572053,0.98128137448400743,nearby_parameters
eth_etf_spread_d100_l65_h96,10224.887824081159,10224.887824081159,0,5.4027612899563859,1892.53,1,6076.6961651916763,36.460176991150057,10224.887824081159,0.022488782408115915,0.049123116149214274,0.85739718705591539,0.86086992568420229,nearby_parameters
eth_etf_spread_d120_l55_h48,10098.920309010786,10098.920309010786,0,5.3362009104271984,1892.53,2,12569.332660653603,75.415995963921631,10098.920309010786,0.0098920309010785967,0.058894465444152444,0.7908368075267278,0.7943095461550147,nearby_parameters
eth_etf_spread_d120_l55_h72,10556.278756109647,10556.278756109647,0,5.5778660079944027,1892.53,1,6076.6961651916763,36.460176991150057,10556.278756109647,0.055627875610964717,0.030559904381285419,1.0325019050939321,1.035974643722219,nearby_parameters
eth_etf_spread_d120_l55_h96,10424.353687696352,10424.353687696352,0,5.5081576977360207,1892.53,1,6076.6961651916763,36.460176991150057,10424.353687696352,0.042435368769635273,0.050064273083910149,0.96279359483555016,0.96626633346383706,nearby_parameters
eth_etf_spread_d120_l60_h48,10098.920309010786,10098.920309010786,0,5.3362009104271984,1892.53,2,12569.332660653603,75.415995963921631,10098.920309010786,0.0098920309010785967,0.058894465444152444,0.7908368075267278,0.7943095461550147,nearby_parameters
eth_etf_spread_d120_l60_h72,10556.278756109647,10556.278756109647,0,5.5778660079944027,1892.53,1,6076.6961651916763,36.460176991150057,10556.278756109647,0.055627875610964717,0.030559904381285419,1.0325019050939321,1.035974643722219,nearby_parameters
eth_etf_spread_d120_l60_h96,10424.353687696352,10424.353687696352,0,5.5081576977360207,1892.53,1,6076.6961651916763,36.460176991150057,10424.353687696352,0.042435368769635273,0.050064273083910149,0.96279359483555016,0.96626633346383706,nearby_parameters
eth_etf_spread_d120_l65_h48,10220.362024865353,10220.362024865353,0,5.4003698883850468,1892.53,1,6076.6961651916763,36.460176991150057,10220.362024865353,0.022036202486535261,0.029654158027899613,0.85500578548457629,0.85847852411286318,nearby_parameters
eth_etf_spread_d120_l65_h72,10452.770103278253,10452.770103278253,0,5.5231727387561911,1892.53,1,6076.6961651916763,36.460176991150057,10452.770103278253,0.045277010327825273,0.029654158027899613,0.97780863585572053,0.98128137448400743,nearby_parameters
eth_etf_spread_d120_l65_h96,10224.887824081159,10224.887824081159,0,5.4027612899563859,1892.53,1,6076.6961651916763,36.460176991150057,10224.887824081159,0.022488782408115915,0.049123116149214274,0.85739718705591539,0.86086992568420229,nearby_parameters
eth_etf_spread_d150_l55_h48,10098.920309010786,10098.920309010786,0,5.3362009104271984,1892.53,2,12569.332660653603,75.415995963921631,10098.920309010786,0.0098920309010785967,0.058894465444152444,0.7908368075267278,0.7943095461550147,nearby_parameters
eth_etf_spread_d150_l55_h72,10556.278756109647,10556.278756109647,0,5.5778660079944027,1892.53,1,6076.6961651916763,36.460176991150057,10556.278756109647,0.055627875610964717,0.030559904381285419,1.0325019050939321,1.035974643722219,nearby_parameters
eth_etf_spread_d150_l55_h96,10424.353687696352,10424.353687696352,0,5.5081576977360207,1892.53,1,6076.6961651916763,36.460176991150057,10424.353687696352,0.042435368769635273,0.050064273083910149,0.96279359483555016,0.96626633346383706,nearby_parameters
eth_etf_spread_d150_l60_h48,10098.920309010786,10098.920309010786,0,5.3362009104271984,1892.53,2,12569.332660653603,75.415995963921631,10098.920309010786,0.0098920309010785967,0.058894465444152444,0.7908368075267278,0.7943095461550147,nearby_parameters
eth_etf_spread_d150_l60_h72,10556.278756109647,10556.278756109647,0,5.5778660079944027,1892.53,1,6076.6961651916763,36.460176991150057,10556.278756109647,0.055627875610964717,0.030559904381285419,1.0325019050939321,1.035974643722219,nearby_parameters
eth_etf_spread_d150_l60_h96,10424.353687696352,10424.353687696352,0,5.5081576977360207,1892.53,1,6076.6961651916763,36.460176991150057,10424.353687696352,0.042435368769635273,0.050064273083910149,0.96279359483555016,0.96626633346383706,nearby_parameters
eth_etf_spread_d150_l65_h48,10220.362024865353,10220.362024865353,0,5.4003698883850468,1892.53,1,6076.6961651916763,36.460176991150057,10220.362024865353,0.022036202486535261,0.029654158027899613,0.85500578548457629,0.85847852411286318,nearby_parameters
eth_etf_spread_d150_l65_h72,10452.770103278253,10452.770103278253,0,5.5231727387561911,1892.53,1,6076.6961651916763,36.460176991150057,10452.770103278253,0.045277010327825273,0.029654158027899613,0.97780863585572053,0.98128137448400743,nearby_parameters
eth_etf_spread_d150_l65_h96,10224.887824081159,10224.887824081159,0,5.4027612899563859,1892.53,1,6076.6961651916763,36.460176991150057,10224.887824081159,0.022488782408115915,0.049123116149214274,0.85739718705591539,0.86086992568420229,nearby_parameters
eth_etf_spread_doubled_cost,10519.818579118497,10519.818579118497,0,5.558600698070042,1892.53,1,6076.6961651916763,72.920353982300114,10519.818579118497,0.051981857911849616,0.030731580780274825,1.0132365951695714,1.0167093337978583,doubled_cost_primary
