partition,start,end,final_usd_value,final_eth_equivalent,events,costs_usd,max_drawdown,strategy
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,6423.6110506774276,2.8150644211446876,1095,8.0752212389380524,0.71380367566536973,daily_eth_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,11422.356743557111,3.4221418857914871,366,2.6991150442477871,0.42341125040047356,daily_eth_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,8602.237925662228,4.5453641029004705,573,4.2256637168141591,0.65064119685841559,daily_eth_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,6404.6119065492903,2.8067382920803072,156,8.0309734513274336,0.70681677375437246,weekly_monday_eth_dca
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,11388.844127523773,3.4121014948629846,53,2.7359882005899703,0.42261672769146974,weekly_monday_eth_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,8595.6656636260359,4.5418913642721837,82,4.2330383480825962,0.64997739609401117,weekly_monday_eth_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2023-12-31 23:00:00+00:00,5383.4808259586798,2.3592408094933894,0,0,0,eth_etf_odds_eth_btc_spread
validation_2024,2024-01-01 00:00:00+00:00,2024-12-31 23:00:00+00:00,7739.1696115670429,2.3186577939729527,1,36.460176991150057,0.030559904381285419,eth_etf_odds_eth_btc_spread
holdout_2025_onward,2025-01-01 00:00:00+00:00,2026-07-27 23:00:00+00:00,10556.278756109647,5.5778660079944027,0,0,0,eth_etf_odds_eth_btc_spread
