strategy,final_usd_value,final_cash_usd,final_eth_units,final_eth_equivalent,final_eth_close,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown
daily_eth_dca,8602.237925662228,0,4.5453641029004705,4.5453641029004705,1892.53,2034,10000,14.999999999999993,0,-0.13977620743377717,0.71380367566536973
weekly_monday_eth_dca,8595.6656636260359,0,4.5418913642721837,4.5418913642721837,1892.53,291,10000.000000000004,15.000000000000002,0,-0.14043343363739647,0.70681677375437246
eth_etf_odds_eth_btc_spread,10556.278756109647,10556.278756109647,0,5.5778660079944027,1892.53,1,6076.6961651916763,36.460176991150057,10556.278756109647,0.055627875610964717,0.030559904381285419
