strategy,final_usd_value,final_cash_usd,final_anchor_equivalent,final_anchor_close,event_count,gross_spent_usd,total_costs_usd,total_return_on_committed_capital,max_drawdown,avg_trade_return,win_rate
daily_btc_dca,9245.2292357062597,0,0.14500987416225364,63755.860000000001,1031,9999.9999999999982,14.999999999999996,-0.075477076429374068,0.44318065913221261,,
weekly_btc_dca,9212.2216613709061,0,0.14449215587980313,63755.860000000001,148,10000,15.000000000000004,-0.078777833862909374,0.44209955286445912,,
btc_only_replica_wick_supportive_odds_rebound,10846.028661572687,10846.028661572687,0.17011814539985323,63755.860000000001,6,19059.923136018242,57.179769408054725,0.084602866157268641,0.070057147361715533,0.048067152356510344,1.0
btc_eth_sol_xrp_wick_supportive_odds_rebound,9854.0991866633867,9854.0991866633867,0.15455989750061228,63755.860000000001,23,47948.509200067674,143.84552760020304,-0.014590081333661353,0.24650555205769642,0.008308638441098902,0.4782608695652174
