asset,n_events,n_trades,final_capital,total_return_pct,sharpe,sortino,win_rate,top_trade_pnl_share_pct,bh_final,dca_final,random_control_final,doubled_cost_final,excl_best_trade_final,test_partition_n_trades,test_partition_final_rel,test_partition_bh_rel
BTC,68,68,12506.652296229106,25.06652296229106,1.1849298325717152,2.140836644891533,0.45588235294117646,59.62506863381798,47125.2959381359,40918.173550194355,6410.203034200404,10198.693414226267,10537.029673277983,27,0.8129626111620443,3.8570558274908096
ETH,68,68,16045.858570980341,60.4585857098034,1.816609668058236,3.3645682641146983,0.5294117647058824,40.18190267584999,26009.867788131163,35752.78301857516,14626.352935740273,13084.779864137148,12828.125354194779,27,0.8777058163807137,1.584914034955489
SOL,46,46,18734.881822255342,87.34881822255343,2.6549901290832403,5.195564655860746,0.4782608695652174,36.47286212506905,251397.59444350333,41921.73432989117,9743.454163069444,16319.919221522396,14502.242839973314,27,0.9005290416704127,7.4274274274274275
XRP,65,65,14848.55960540041,48.48559605400411,1.6442492338089012,3.2284157206574307,0.4461538461538462,52.68349153424157,11550.379198266523,23355.321668080633,10983.542280004209,12217.896957380934,11585.583416926058,27,0.6460281763299223,3.1494830132939438
