asset,start,end,risk_on_days,risk_on_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2d,best_excluded,top_block_pct,sharpe,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,1983,0.6335463258785943,37,103595.72687343809,46344.780518358595,39941.66037721917,84689.48713366143,12222.844998178192,92711.77617438234,81938.55791467376,44675.051071110465,1.2485311254402665,0.8026934209270061,-0.6132705791928312,12594.935636837195,15032.99363290963,9
ETH,2018-01-01,2026-07-27,1983,0.6335463258785943,37,188950.10777231402,25741.27110993787,34753.85778180409,127304.60327323966,43850.30967302823,169098.6745168901,138408.53395303438,19650.113272987524,0.6976785055365433,0.8493792709532315,-0.7342329361248398,10614.700234907605,8268.923793334221,9
SOL,2020-08-11,2026-07-27,1497,0.6876435461644465,18,135624.72908504106,259570.99438561453,40615.94868993892,904985.4845900396,334977.4483885612,128495.18634216819,90801.94450567075,64423.13901266645,2.383777587485454,0.8986516326492917,-0.8397661225347194,5214.466815698729,7272.683189136861,9
XRP,2018-05-04,2026-07-27,1861,0.6188892583970735,36,25359.83111660983,21258.129805292065,22385.074054116783,37077.29762569797,2910.0227390151267,22763.671344001807,21622.89101298768,5567.915242079245,4.455098952999981,0.5227451652540591,-0.760732362545528,11897.75820680845,17268.992530700296,9
