date,eem,sma200_prior,risk_on_signal_close,risk_on_actionable
2004-01-29 00:00:00+00:00,12.046786308288574,9.703802664279937,True,False
2004-01-30 00:00:00+00:00,12.030303955078125,9.728040182590485,True,True
2004-02-02 00:00:00+00:00,12.033171653747559,9.7517675948143,True,True
2004-02-03 00:00:00+00:00,11.96581745147705,9.775088794231415,True,True
2004-02-04 00:00:00+00:00,11.858338356018066,9.797809495925904,True,True
2004-02-05 00:00:00+00:00,11.854758262634277,9.820007042884827,True,True
2004-02-06 00:00:00+00:00,12.124883651733398,9.842061972618103,True,True
2004-02-09 00:00:00+00:00,12.299714088439941,9.865292887687684,True,True
2004-02-10 00:00:00+00:00,12.288965225219727,9.890135705471039,True,True
2004-02-11 00:00:00+00:00,12.479557037353516,9.915530652999879,True,True
2004-02-12 00:00:00+00:00,12.473113059997559,9.941283376216889,True,True
2004-02-13 00:00:00+00:00,12.481705665588379,9.965959618091583,True,True
2004-02-17 00:00:00+00:00,12.732488632202148,9.990785737037658,True,True
2004-02-18 00:00:00+00:00,12.55909538269043,10.017011904716492,True,True
2004-02-19 00:00:00+00:00,12.449471473693848,10.041797306537628,True,True
2004-02-20 00:00:00+00:00,12.309741973876953,10.065624725818633,True,True
2004-02-23 00:00:00+00:00,12.2022705078125,10.088557484149932,True,True
2004-02-24 00:00:00+00:00,12.137778282165527,10.111024165153504,True,True
2004-02-25 00:00:00+00:00,12.270340919494629,10.133506953716278,True,True
2004-02-26 00:00:00+00:00,12.331245422363281,10.156203501224518,True,True
2004-02-27 00:00:00+00:00,12.506074905395508,10.178666405677795,True,True
2004-03-01 00:00:00+00:00,12.791248321533203,10.202224423885346,True,True
2004-03-02 00:00:00+00:00,12.68950080871582,10.227404325008392,True,True
2004-03-03 00:00:00+00:00,12.610679626464844,10.2519970870018,True,True
2004-03-04 00:00:00+00:00,12.69666576385498,10.27616723060608,True,True
2004-03-05 00:00:00+00:00,12.743234634399414,10.301693942546844,True,True
2004-03-08 00:00:00+00:00,12.621427536010742,10.327264602184295,True,True
2004-03-09 00:00:00+00:00,12.539031982421875,10.352194154262543,True,True
2004-03-10 00:00:00+00:00,12.252426147460938,10.376366021633148,True,True
2004-03-11 00:00:00+00:00,11.987316131591797,10.398709263801575,True,True
2004-03-12 00:00:00+00:00,12.087626457214355,10.418333415985108,True,True
2004-03-15 00:00:00+00:00,11.861920356750488,10.438284502029418,True,True
2004-03-16 00:00:00+00:00,12.008810043334961,10.457053589820863,True,True
2004-03-17 00:00:00+00:00,12.173609733581543,10.476086678504943,True,True
2004-03-18 00:00:00+00:00,12.245259284973145,10.495647954940797,True,True
2004-03-19 00:00:00+00:00,12.0840425491333,10.5158811044693,True,True
2004-03-22 00:00:00+00:00,11.890581130981445,10.534780716896057,True,True
2004-03-23 00:00:00+00:00,12.010241508483887,10.552670216560363,True,True
2004-03-24 00:00:00+00:00,12.01955795288086,10.570769572257996,True,True
2004-03-25 00:00:00+00:00,12.137063980102539,10.589275465011596,True,True
2004-03-26 00:00:00+00:00,12.114850997924805,10.607941198349,True,True
