timestamp,kind,gross_spend_usd,fee_slippage_usd,cash_after,strategy,asset,execution_price,reference_open,btc_bought,btc_after,eth_bought,eth_after,sol_bought,sol_after,xrp_bought,xrp_after,btc_sold,eth_sold,sol_sold,xrp_sold,funding_rate,signal_time,planned_exit_time,reference_close
2025-09-30 09:00:00+00:00,cash_contribution,0,0,33.222591362126245,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-01 09:00:00+00:00,cash_contribution,0,0,66.44518272425249,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-02 09:00:00+00:00,cash_contribution,0,0,99.667774086378728,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-03 09:00:00+00:00,cash_contribution,0,0,132.89036544850498,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-04 09:00:00+00:00,cash_contribution,0,0,166.11295681063123,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-05 09:00:00+00:00,cash_contribution,0,0,199.33554817275748,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-06 09:00:00+00:00,cash_contribution,0,0,232.55813953488374,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-07 09:00:00+00:00,cash_contribution,0,0,265.78073089700996,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-08 09:00:00+00:00,cash_contribution,0,0,299.00332225913621,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-09 09:00:00+00:00,cash_contribution,0,0,332.22591362126246,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-10 09:00:00+00:00,cash_contribution,0,0,365.44850498338872,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-11 09:00:00+00:00,cash_contribution,0,0,398.67109634551497,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-12 09:00:00+00:00,cash_contribution,0,0,431.89368770764122,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-13 09:00:00+00:00,cash_contribution,0,0,465.11627906976747,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-14 09:00:00+00:00,cash_contribution,0,0,498.33887043189372,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-15 09:00:00+00:00,cash_contribution,0,0,531.56146179401992,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-16 09:00:00+00:00,cash_contribution,0,0,564.78405315614611,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-17 09:00:00+00:00,cash_contribution,0,0,598.00664451827231,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-18 09:00:00+00:00,cash_contribution,0,0,631.22923588039851,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-19 09:00:00+00:00,cash_contribution,0,0,664.4518272425247,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-20 09:00:00+00:00,cash_contribution,0,0,697.6744186046509,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-21 09:00:00+00:00,cash_contribution,0,0,730.89700996677709,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-22 09:00:00+00:00,cash_contribution,0,0,764.11960132890329,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-23 09:00:00+00:00,cash_contribution,0,0,797.34219269102948,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-24 09:00:00+00:00,cash_contribution,0,0,830.56478405315568,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-25 09:00:00+00:00,cash_contribution,0,0,863.78737541528187,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-26 09:00:00+00:00,cash_contribution,0,0,897.00996677740807,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-27 09:00:00+00:00,cash_contribution,0,0,930.23255813953426,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-28 09:00:00+00:00,cash_contribution,0,0,963.45514950166046,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-29 09:00:00+00:00,cash_contribution,0,0,996.67774086378665,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-30 09:00:00+00:00,cash_contribution,0,0,1029.900332225913,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-10-31 09:00:00+00:00,cash_contribution,0,0,1063.1229235880392,cash_reserve,,,,,,,,,,,,,,,,,,,
2025-11-01 09:00:00+00:00,cash_contribution,0,0,1096.3455149501654,cash_reserve,,,,,,,,,,,,,,,,,,,
