strategy,terminal_value,net_return,event_count,avg_trade_return,win_rate,verdict,holdout_trade_count,holdout_net_return
cash_reserve,9999.99999999996,-3.9968028886505635e-15,0,,,Baseline,,
daily_btc_dca,8122.1994209854302,-0.18778005790145702,301,,,Baseline,,
daily_eth_dca,7936.9919450666875,-0.2063008054933313,301,,,Baseline,,
daily_sol_dca,7408.1007255059203,-0.25918992744940794,301,,,Baseline,,
daily_xrp_dca,6849.1449196168332,-0.3150855080383167,301,,,Baseline,,
always_long_equal_weight_schedule,10203.575769163468,0.020357576916346876,15,0.001881034419292201,0.53333333333333333,Baseline,,
random_asset_schedule_baseline,10275.759670257459,0.027575967025745829,15,0.0012109528103483684,0.46666666666666667,Baseline,,
recession_relief_btc_swing,10215.68974469704,0.021568974469704072,15,0.0024141484723739265,0.53333333333333333,Rejected,3,0.67502391886225532
