timestamp,cash,active_asset,asset_units,mark_close,equity,final_btc_close,final_eth_close,final_sol_close,final_xrp_close,strategy,btc_units,btc_close,eth_units,eth_close,sol_units,sol_close,xrp_units,xrp_close
2025-09-30 00:00:00+00:00,0,,0,114525.97,0,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 01:00:00+00:00,0,,0,114500.31,0,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 02:00:00+00:00,0,,0,114455.96000000001,0,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 03:00:00+00:00,0,,0,114376.39,0,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 04:00:00+00:00,0,,0,114091.63,0,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 05:00:00+00:00,0,,0,113904,0,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 06:00:00+00:00,0,,0,113891.64,0,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 07:00:00+00:00,0,,0,113699.23,0,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 08:00:00+00:00,0,,0,113451.89,0,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 09:00:00+00:00,33.222591362126245,,0,112781.97,33.222591362126245,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 10:00:00+00:00,33.222591362126245,,0,112923.49000000001,33.222591362126245,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 11:00:00+00:00,33.222591362126245,,0,113055.00999999999,33.222591362126245,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 12:00:00+00:00,33.222591362126245,,0,113002.06,33.222591362126245,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
2025-09-30 13:00:00+00:00,33.222591362126245,,0,113404.53,33.222591362126245,63755.860000000001,1892.53,74.200000000000003,1.0661,cash_reserve,,,,,,,,
