asset,partition,n_bars,rule_total_return,rule_sharpe,bh_total_return,bh_sharpe,rule_beats_bh
BTC,development,730,0.6347092740608313,1.0957715461236208,-0.4622399103139013,-0.023904026102402765,True
BTC,validation_2020_2024,1461,0.2531619323118921,0.3706223039143501,4.872026219126909,1.002173696470502,False
BTC,test_2024_2026,939,-0.32108038873075007,-0.7225800177286426,0.4431079537931011,0.5370732958760418,False
ETH,development,730,0.468182149587435,0.7894388507104056,-0.8289248864223367,-0.4314154592788548,True
ETH,validation_2020_2024,1461,3.5523439048192955,1.3584811041256433,16.449491473579563,1.2625584026265626,False
ETH,test_2024_2026,939,-0.520120529889244,-0.9578320323245156,-0.19536657539837754,0.21681330325256248,False
SOL,validation_2020_2024,1238,6.071936415412175,1.486340793750892,29.838259815067453,1.4167451992859965,False
SOL,test_2024_2026,939,-0.5812394528975735,-0.8082311897108905,-0.3249021927031207,0.20874271133747543,False
XRP,development,607,-0.02745750983304962,0.040470014682133355,-0.7831778851556355,-0.5636509355713548,True
XRP,validation_2020_2024,1461,0.24274557396400298,0.33563013991269014,2.188811188811189,0.7988745797570139,False
XRP,test_2024_2026,939,-0.13220043638381362,0.03129073283875768,0.693835398792501,0.6438880942578199,False
