asset,n_bars,start,end,n_trades,rule_final,bh_final,rule_doubled_cost_final,rule_best_trade_excluded_final,rule_total_return,rule_sharpe,rule_sortino,rule_max_dd,bh_total_return,bh_sharpe,bh_max_dd,rule_beats_bh,rule_beats_bh_doubled_cost,rule_survives_best_trade_exclusion
BTC,3130,2018-01-01 00:00:00+00:00,2026-07-27 00:00:00+00:00,103,1.4165876806676703,4.765011958146487,1.0400297470026036,1.1830278601855322,0.4543023134217532,0.30915390642059,0.4883118668290887,-0.499761176814757,3.765011958146487,0.6101745957348114,-0.8118477145881701,False,False,True
ETH,3130,2018-01-01 00:00:00+00:00,2026-07-27 00:00:00+00:00,103,3.4424006226178,2.506695452919906,2.5273402398469087,2.654574588292651,2.3471953953107345,0.6205068088353332,1.0562605084155003,-0.6264033919577383,1.5066954529199061,0.5578775867207443,-0.9396550481981528,True,True,True
SOL,2177,2020-08-11 00:00:00+00:00,2026-07-27 00:00:00+00:00,71,3.199889358498408,22.495073518265876,2.5860073316626346,2.2591286602181504,2.199889358498408,0.672187493329438,1.1947919448409214,-0.6446944785686495,21.495073518265876,1.0237407470335722,-0.9626992725584275,False,False,True
XRP,3007,2018-05-04 00:00:00+00:00,2026-07-27 00:00:00+00:00,98,1.0729102333654712,1.1979997752556468,0.7996135401443949,0.7718515340182691,0.0729102333654712,0.17932906819171496,0.2811682440328175,-0.5628342145815672,0.19799977525564683,0.5041850766803783,-0.8499224634470537,False,False,False
