timestamp,cash,btc_units,close,equity,strategy,btc_equivalent
2023-10-01 00:00:00+00:00,0,0,26991.07,0,daily_btc_dca,
2023-10-01 01:00:00+00:00,0,0,27019.830000000002,0,daily_btc_dca,
2023-10-01 02:00:00+00:00,0,0,27025.889999999999,0,daily_btc_dca,
2023-10-01 03:00:00+00:00,0,0,27044.759999999998,0,daily_btc_dca,
2023-10-01 04:00:00+00:00,0,0,27045.470000000001,0,daily_btc_dca,
2023-10-01 05:00:00+00:00,0,0,27071.720000000001,0,daily_btc_dca,
2023-10-01 06:00:00+00:00,0,0,27128.849999999999,0,daily_btc_dca,
2023-10-01 07:00:00+00:00,0,0,27107.950000000001,0,daily_btc_dca,
2023-10-01 08:00:00+00:00,0,0,27135.470000000001,0,daily_btc_dca,
2023-10-01 09:00:00+00:00,0,0.0036075430836684831,27217.77,98.189277916379538,daily_btc_dca,
2023-10-01 10:00:00+00:00,0,0.0036075430836684831,27210.009999999998,98.161283382050257,daily_btc_dca,
2023-10-01 11:00:00+00:00,0,0.0036075430836684831,27187.709999999999,98.080835171284448,daily_btc_dca,
2023-10-01 12:00:00+00:00,0,0.0036075430836684831,27193.98,98.103454466419052,daily_btc_dca,
2023-10-01 13:00:00+00:00,0,0.0036075430836684831,27192.040000000001,98.096455832836739,daily_btc_dca,
2023-10-01 14:00:00+00:00,0,0.0036075430836684831,27119.790000000001,97.835810845041692,daily_btc_dca,
2023-10-01 15:00:00+00:00,0,0.0036075430836684831,27153.18,97.956266708605384,daily_btc_dca,
2023-10-01 16:00:00+00:00,0,0.0036075430836684831,27112.189999999999,97.808393517605808,daily_btc_dca,
2023-10-01 17:00:00+00:00,0,0.0036075430836684831,27072.349999999999,97.664669001152447,daily_btc_dca,
2023-10-01 18:00:00+00:00,0,0.0036075430836684831,27096.130000000001,97.750456375682106,daily_btc_dca,
2023-10-01 19:00:00+00:00,0,0.0036075430836684831,27103.02,97.775312347528569,daily_btc_dca,
2023-10-01 20:00:00+00:00,0,0.0036075430836684831,27109.75,97.799591112481664,daily_btc_dca,
2023-10-01 21:00:00+00:00,0,0.0036075430836684831,27180.369999999999,98.054355805050321,daily_btc_dca,
2023-10-01 22:00:00+00:00,0,0.0036075430836684831,27996.43,100.99832741390883,daily_btc_dca,
2023-10-01 23:00:00+00:00,0,0.0036075430836684831,27992.57,100.98440229760587,daily_btc_dca,
2023-10-02 00:00:00+00:00,0,0.0036075430836684831,27932.049999999999,100.76607379018225,daily_btc_dca,
2023-10-02 01:00:00+00:00,0,0.0036075430836684831,27920,100.72260289602404,daily_btc_dca,
2023-10-02 02:00:00+00:00,0,0.0036075430836684831,27982.599999999999,100.94843509306169,daily_btc_dca,
2023-10-02 03:00:00+00:00,0,0.0036075430836684831,28126.540000000001,101.46770484452495,daily_btc_dca,
2023-10-02 04:00:00+00:00,0,0.0036075430836684831,28067.060000000001,101.25312818190834,daily_btc_dca,
2023-10-02 05:00:00+00:00,0,0.0036075430836684831,27977.380000000001,100.92960371816496,daily_btc_dca,
2023-10-02 06:00:00+00:00,0,0.0036075430836684831,28101.59,101.3776966445874,daily_btc_dca,
2023-10-02 07:00:00+00:00,0,0.0036075430836684831,28311.91,102.13643510594456,daily_btc_dca,
2023-10-02 08:00:00+00:00,0,0.0036075430836684831,28280.939999999999,102.02470949664334,daily_btc_dca,
2023-10-02 09:00:00+00:00,0,0.0070689689457718516,28288.610000000001,199.97130560905106,daily_btc_dca,
2023-10-02 10:00:00+00:00,0,0.0070689689457718516,28305.5,200.09070049454513,daily_btc_dca,
2023-10-02 11:00:00+00:00,0,0.0070689689457718516,28198.040000000001,199.33106909163251,daily_btc_dca,
2023-10-02 12:00:00+00:00,0,0.0070689689457718516,28320.66,200.19786606376306,daily_btc_dca,
2023-10-02 13:00:00+00:00,0,0.0070689689457718516,28544,201.77664958811172,daily_btc_dca,
2023-10-02 14:00:00+00:00,0,0.0070689689457718516,28307.689999999999,200.10618153653638,daily_btc_dca,
