asset,start,end,risk_off_days,risk_off_fraction,trades,final,buy_hold,dca,momentum,random,double_cost,delay_2d,best_excluded,top_block_pct,sharpe,sortino,max_drawdown,test_final,test_buy_hold,test_trades
BTC,2018-01-01,2026-07-27,421,0.13450479233226836,8,35334.47868076356,46344.780518358595,39941.66037721917,84689.48713366143,32261.850650823082,34496.54225118443,40006.599930875585,11737.97503001604,1.0223326348530954,0.5491577315560718,0.802388052817636,-0.780323657729717,12493.97667895722,15032.99363290963,3
ETH,2018-01-01,2026-07-27,421,0.13450479233226836,8,24623.336857735085,25741.27110993787,34753.85778180409,127304.60327323966,21693.425211708247,24039.408871778185,25723.33376331578,11995.08693338225,1.452263683229388,0.5159704842432625,0.7540376168952062,-0.9270929000665196,6986.082180136687,8268.923793334221,3
SOL,2020-08-11,2026-07-27,96,0.044097381717960495,4,229037.87592748573,259570.99438561453,40615.94868993892,904985.4845900396,247932.53329861007,226305.83212057612,206792.75193798478,50090.636326669955,1.9364813953553497,1.0044032056099066,1.5912364123620713,-0.958150052463317,5719.633479059764,7272.683189136861,3
XRP,2018-05-04,2026-07-27,421,0.1400066511473229,8,30614.90090268512,21258.129805292065,22385.074054116783,37077.29762569797,23489.676816337447,29888.886490923574,33009.42735414476,16909.379258705438,0.7144328497157941,0.5233647311129805,0.8866668064667189,-0.8323958401465106,14270.71708029298,17268.992530700296,3
