timestamp,kind,notional,entry_basis,planned_exit,gross_carry,cost,pnl,asset
2021-02-04 00:00:00+00:00,carry_entry,9.995002499,0.02778472612,2021-03-27 00:00:00+00:00,,,,BTC
2021-03-27 00:00:00+00:00,carry_exit,9.995002499,0.02778472612,,0.277708407,0.05997001499,0.217738392,BTC
2021-03-28 00:00:00+00:00,carry_entry,270.0828059,0.06297635457,2021-06-26 00:00:00+00:00,,,,BTC
2021-06-26 00:00:00+00:00,carry_exit,270.0828059,0.06297635457,,17.00883055,1.620496835,15.38833371,BTC
2021-08-10 00:00:00+00:00,carry_entry,960.1338082,0.01132024889,2021-09-25 00:00:00+00:00,,,,BTC
2021-09-25 00:00:00+00:00,carry_exit,960.1338082,0.01132024889,,10.86895368,5.760802849,5.108150827,BTC
2021-09-27 00:00:00+00:00,carry_entry,1205.122019,0.02115108814,2022-01-01 00:00:00+00:00,,,,BTC
2022-01-01 00:00:00+00:00,carry_exit,1205.122019,0.02115108814,,25.48964204,7.230732114,18.25890993,BTC
2022-01-02 00:00:00+00:00,carry_entry,1708.13855,0.02252284817,2022-03-26 00:00:00+00:00,,,,BTC
2022-03-26 00:00:00+00:00,carry_exit,1708.13855,0.02252284817,,38.47214521,10.2488313,28.22331391,BTC
2022-06-25 00:00:00+00:00,carry_entry,2605.927081,0.003513093938,2022-06-25 00:00:00+00:00,,,,BTC
2021-02-05 00:00:00+00:00,carry_entry,10,0.04396899108,2021-03-27 00:00:00+00:00,,,,ETH
2021-03-27 00:00:00+00:00,carry_exit,10,0.04396899108,,0.4396899108,0.06,0.3796899108,ETH
2021-03-28 00:00:00+00:00,carry_entry,265.3796899,0.0733725323,2021-06-26 00:00:00+00:00,,,,ETH
2021-06-26 00:00:00+00:00,carry_exit,265.3796899,0.0733725323,,19.47157987,1.592278139,17.87930173,ETH
2021-07-31 00:00:00+00:00,carry_entry,908.2589916,0.01511895719,2021-09-25 00:00:00+00:00,,,,ETH
2021-09-25 00:00:00+00:00,carry_exit,908.2589916,0.01511895719,,13.73192881,5.44955395,8.282374862,ETH
2021-09-27 00:00:00+00:00,carry_entry,1206.541367,0.02219411186,2022-01-01 00:00:00+00:00,,,,ETH
2022-01-01 00:00:00+00:00,carry_exit,1206.541367,0.02219411186,,26.77811405,7.239248199,19.53886585,ETH
2022-01-02 00:00:00+00:00,carry_entry,1711.080232,0.02338841176,2022-03-26 00:00:00+00:00,,,,ETH
2022-03-26 00:00:00+00:00,carry_exit,1711.080232,0.02338841176,,40.01944902,10.26648139,29.75296763,ETH
2022-12-30 00:00:00+00:00,carry_entry,3550.8332,0.0005164557806,2022-12-31 00:00:00+00:00,,,,ETH
2022-12-31 00:00:00+00:00,carry_exit,3550.8332,0.0005164557806,,1.833848332,21.3049992,-19.47115087,ETH
2023-03-15 00:00:00+00:00,carry_entry,3906.362049,0.004219136166,2023-04-01 00:00:00+00:00,,,,ETH
2023-04-01 00:00:00+00:00,carry_exit,3906.362049,0.004219136166,,16.4814734,23.43817229,-6.956698897,ETH
2023-07-01 00:00:00+00:00,carry_entry,4439.40535,0.01097327011,2023-07-01 00:00:00+00:00,,,,ETH
