signal_time,entry_time,exit_time,asset,funding_rate,mark_price,source_symbol
2021-03-21 08:00:00+00:00,2021-03-21 09:00:00+00:00,2021-03-21 17:00:00+00:00,AVAX,0.00111257,,AVAXUSDT
2021-03-22 16:00:00+00:00,2021-03-22 17:00:00+00:00,2021-03-23 01:00:00+00:00,AVAX,0.0018214500000000001,,AVAXUSDT
2021-03-24 08:00:00+00:00,2021-03-24 09:00:00+00:00,2021-03-24 17:00:00+00:00,LINK,0.00058668000000000001,,LINKUSDT
2021-03-25 16:00:00+00:00,2021-03-25 17:00:00+00:00,2021-03-26 01:00:00+00:00,ADA,0.00054960999999999996,,ADAUSDT
2021-03-27 08:00:00+00:00,2021-03-27 09:00:00+00:00,2021-03-27 17:00:00+00:00,AVAX,0.00068847999999999999,,AVAXUSDT
2021-03-29 08:00:00+00:00,2021-03-29 09:00:00+00:00,2021-03-29 17:00:00+00:00,AVAX,0.0011481799999999999,,AVAXUSDT
2021-03-31 00:00:00+00:00,2021-03-31 01:00:00+00:00,2021-03-31 09:00:00+00:00,ADA,0.00141077,,ADAUSDT
2021-04-02 00:00:00+00:00,2021-04-02 01:00:00+00:00,2021-04-02 09:00:00+00:00,AVAX,0.00140712,,AVAXUSDT
2021-04-03 08:00:00+00:00,2021-04-03 09:00:00+00:00,2021-04-03 17:00:00+00:00,AVAX,0.00296145,,AVAXUSDT
2021-04-05 00:00:00+00:00,2021-04-05 01:00:00+00:00,2021-04-05 09:00:00+00:00,AVAX,0.00140357,,AVAXUSDT
2021-04-06 08:00:00+00:00,2021-04-06 09:00:00+00:00,2021-04-06 17:00:00+00:00,AVAX,0.00269615,,AVAXUSDT
2021-04-09 00:00:00+00:00,2021-04-09 01:00:00+00:00,2021-04-09 09:00:00+00:00,XRP,0.00139423,,XRPUSDT
2021-04-10 16:00:00+00:00,2021-04-10 17:00:00+00:00,2021-04-11 01:00:00+00:00,LINK,0.0020649800000000001,,LINKUSDT
2021-04-14 08:00:00+00:00,2021-04-14 09:00:00+00:00,2021-04-14 17:00:00+00:00,ADA,0.0037833900000000002,,ADAUSDT
2021-04-16 08:00:00+00:00,2021-04-16 09:00:00+00:00,2021-04-16 17:00:00+00:00,AVAX,0.0024192599999999999,,AVAXUSDT
2021-04-19 00:00:00+00:00,2021-04-19 01:00:00+00:00,2021-04-19 09:00:00+00:00,DOGE,0.00064044000000000004,,DOGEUSDT
2021-04-22 08:00:00+00:00,2021-04-22 09:00:00+00:00,2021-04-22 17:00:00+00:00,BNB,0.00061757000000000001,,BNBUSDT
2021-04-27 08:00:00+00:00,2021-04-27 09:00:00+00:00,2021-04-27 17:00:00+00:00,DOGE,0.00052766,,DOGEUSDT
2021-05-01 16:00:00+00:00,2021-05-01 17:00:00+00:00,2021-05-02 01:00:00+00:00,AVAX,0.00081839,,AVAXUSDT
