date,equity
2020-07-30 00:00:00+00:00,10170.93246304232
2020-08-06 00:00:00+00:00,10794.061353230203
2020-08-13 00:00:00+00:00,10484.662439825279
2020-08-20 00:00:00+00:00,10818.491151656444
2020-08-27 00:00:00+00:00,11061.527034934243
2020-09-03 00:00:00+00:00,10367.15876239618
2020-09-10 00:00:00+00:00,11096.407880332146
2020-09-17 00:00:00+00:00,11470.615342963438
2020-09-24 00:00:00+00:00,10950.272905725638
2020-10-01 00:00:00+00:00,11319.101403767952
2020-10-08 00:00:00+00:00,11700.447499725731
2020-10-15 00:00:00+00:00,12112.42485049735
2020-10-22 00:00:00+00:00,12511.857664453208
2020-10-29 00:00:00+00:00,11923.058332463112
2020-11-05 00:00:00+00:00,12646.756091875302
2020-11-12 00:00:00+00:00,12740.71576243861
2020-11-19 00:00:00+00:00,12167.009315303692
2020-11-26 00:00:00+00:00,12373.972740523646
2020-12-03 00:00:00+00:00,12917.140594877887
2020-12-10 00:00:00+00:00,13775.440433363794
2020-12-17 00:00:00+00:00,13359.73673802567
2020-12-24 00:00:00+00:00,14230.30268622169
2020-12-31 00:00:00+00:00,13632.545949285884
2021-01-07 00:00:00+00:00,12942.808928066574
2021-01-14 00:00:00+00:00,12733.967482720285
2021-01-21 00:00:00+00:00,12109.584506157275
2021-01-28 00:00:00+00:00,12934.844907392708
2021-02-04 00:00:00+00:00,13246.917752748217
2021-02-11 00:00:00+00:00,11917.693813835947
2021-02-18 00:00:00+00:00,12630.081894452604
2021-02-25 00:00:00+00:00,13772.318000024552
2021-03-04 00:00:00+00:00,14500.413671137023
2021-03-11 00:00:00+00:00,15157.026221002656
2021-03-18 00:00:00+00:00,15897.16505802917
2021-03-25 00:00:00+00:00,15343.333249102916
2021-04-01 00:00:00+00:00,15618.12888507371
2021-04-08 00:00:00+00:00,17014.50918326439
2021-04-15 00:00:00+00:00,17763.918356729962
2021-04-22 00:00:00+00:00,17142.514211579302
2021-04-29 00:00:00+00:00,17929.86565070649
2021-05-06 00:00:00+00:00,17522.371314943364
2021-05-13 00:00:00+00:00,17105.597531276264
2021-05-20 00:00:00+00:00,16943.449679716898
2021-05-27 00:00:00+00:00,17013.04066633794
2021-06-03 00:00:00+00:00,17005.379992951977
2021-06-10 00:00:00+00:00,16346.784004605543
2021-06-17 00:00:00+00:00,15905.711854494193
2021-06-24 00:00:00+00:00,16159.966934967815
2021-07-01 00:00:00+00:00,17029.09498945742
2021-07-08 00:00:00+00:00,18892.36412468925
2021-07-15 00:00:00+00:00,19721.557377654644
2021-07-22 00:00:00+00:00,19806.387033993014
2021-07-29 00:00:00+00:00,18462.149597836975
2021-08-05 00:00:00+00:00,17970.75923517174
2021-08-12 00:00:00+00:00,18761.44964499315
2021-08-19 00:00:00+00:00,21039.266046896144
2021-08-26 00:00:00+00:00,21091.840827793072
2021-09-02 00:00:00+00:00,22906.70752770315
2021-09-09 00:00:00+00:00,23700.86598523419
2021-09-16 00:00:00+00:00,22570.258491070872
2021-09-23 00:00:00+00:00,23177.27022110127
