variant,total_return,cagr,sharpe,sortino,maximum_drawdown,trades,win_rate,profit_factor,exposure
Compression-selected acceptance,3.1181049315271929,0.1796003239548507,1.1118069082021829,0.67740163022706246,0.16686404160883894,385,0.35064935064935066,1.732761436207535,0.099392453634619474
Unfiltered acceptance parent,2.8330332449615865,0.16976636802853218,0.8688162611467618,0.57149257056780634,0.21867526995715403,542,0.34686346863468637,1.461197351682638,0.13916719960207488
Immediate breakout baseline,3.9652171474124298,0.20563444898483341,0.95719142243127919,0.65580184663727925,0.21349939058974599,680,0.29411764705882354,1.4903350882904858,0.15174447523626802
Doubled costs,2.1934503270982724,0.14510922025389617,0.92589166503210996,0.566489945078128,0.18443459192044898,385,0.34285714285714286,1.5877207511251914,0.099339160093796633
Entry delayed one extra bar,2.2560603966429502,0.14770680123113422,0.94632109336395032,0.56861997319241153,0.17099810862355858,384,0.34635416666666669,1.600274492141907,0.093920983443473299
