symbol,direction,signal_timestamp,entry_timestamp,entry_price,entry_execution_price,exit_timestamp,exit_price,exit_execution_price,position_size,allocated_notional,gross_return,fees,slippage,net_return,net_pnl,exit_reason,holding_period_bars,entry_regime,reference_level
BTC,long,2018-02-15 20:00:00+00:00,2018-02-16 00:00:00+00:00,10000.889999999999,10005.890444999999,2018-02-16 08:00:00+00:00,9688.5,9683.6557499999999,0.33313710075638686,3333.3333333333335,-0.031220609671586245,3.2796591673056241,3.2796331501308229,-0.033188397366817182,-110.62799122272394,reference_failure,2,sideways,9925.1700000000001
BTC,long,2018-02-17 04:00:00+00:00,2018-02-17 08:00:00+00:00,10727.870000000001,10733.233935,2018-02-21 08:00:00+00:00,11128,11122.436000000002,0.30025483108140316,3222.7053421106093,0.037279537781731875,3.281135242252164,3.2811652774929194,0.035243267064084656,113.57866504085652,time_exit,24,bull,10323.370000000001
ETH,long,2018-02-17 04:00:00+00:00,2018-02-17 08:00:00+00:00,964.54999999999995,965.03227499999991,2018-02-18 04:00:00+00:00,912.5039775810418,912.04772559225137,3.4541159085413322,3333.3333333333335,-0.053931898204086656,3.2418259458252341,3.241781002576265,-0.055876980288607103,-186.2566009620237,atr_stop,5,sideways,948.48000000000002
BTC,long,2018-03-03 04:00:00+00:00,2018-03-03 08:00:00+00:00,11317,11322.6585,2018-03-04 04:00:00+00:00,11163,11157.4185,0.29465553581356058,3336.2840071514661,-0.013601046079416774,3.3119395667825495,3.3119282225443567,-0.015586448933348982,-52.000820304615239,reference_failure,5,bull,11200
ETH,long,2018-04-12 08:00:00+00:00,2018-04-12 12:00:00+00:00,460.31,460.54015499999997,2018-04-16 12:00:00+00:00,512.65999999999997,512.40367000000003,6.8334469822100745,3147.0767323713098,0.11367086980721576,3.3242800224030886,3.3243694551398009,0.11155822685537609,351.08230004115427,time_exit,24,sideways,433.54000000000002
BTC,long,2018-04-12 12:00:00+00:00,2018-04-12 16:00:00+00:00,7618,7621.8089999999993,2018-04-16 16:00:00+00:00,7971.9799999999996,7967.9940100000003,0.43090599447543904,3284.2831868468511,0.046443042590020238,3.3588697848501212,3.3589079178754591,0.044397610658440938,145.81432622169012,time_exit,24,sideways,7427.5200000000004
ETH,long,2018-04-19 16:00:00+00:00,2018-04-19 20:00:00+00:00,557.40999999999997,557.68870499999991,2018-04-23 20:00:00+00:00,637,636.68150000000003,6.2726015446421206,3498.1590324124636,0.14271402538087991,3.7459041963787634,3.7460290054674781,0.14057234653425538,491.74442373622031,time_exit,24,bull,539.39999999999998
BTC,long,2018-04-20 12:00:00+00:00,2018-04-20 16:00:00+00:00,8458,8462.2289999999994,2018-04-24 16:00:00+00:00,9347.7800000000007,9343.1061100000006,0.4053420810366325,3430.0975130685415,0.10514723721137784,3.6086257935210089,3.608715959839977,0.10304311576122571,353.44793511141415,time_exit,24,bull,8429.5400000000009
ETH,long,2018-04-24 04:00:00+00:00,2018-04-24 08:00:00+00:00,678.71000000000004,679.04935499999999,2018-04-25 04:00:00+00:00,642.50395985336468,642.18270787343806,5.8757193814707085,3989.9034561486837,-0.05331871664414637,3.881594419622993,3.8815412354893768,-0.055264411756931343,-220.49966747100433,atr_stop,5,bull,649.11000000000001
BTC,long,2018-04-24 20:00:00+00:00,2018-04-25 00:00:00+00:00,9618.9599999999991,9623.769479999999,2018-04-25 04:00:00+00:00,9349.9899999999998,9345.3150050000004,0.39314589320150217,3783.5454481799557,-0.027948508176444741,3.7288088315350407,3.7287823954220394,-0.029919567155145394,-113.20204212136485,reference_failure,1,bull,9420
ETH,long,2018-05-03 04:00:00+00:00,2018-05-03 08:00:00+00:00,722.99000000000001,723.351495,2018-05-07 08:00:00+00:00,736.98000000000002,736.61151000000007,5.2110264715464227,3769.4037886776796,0.01934052821719821,3.8039529332667312,3.8039711588315153,0.017322192024363022,65.294336244836259,time_exit,24,bull,710
BTC,long,2018-05-03 20:00:00+00:00,2018-05-04 00:00:00+00:00,9750,9754.875,2018-05-06 12:00:00+00:00,9536.9799999999996,9532.2115099999992,0.37625734887003587,3670.343406058591,-0.021837286484962696,3.628454018839816,3.6284339812548465,-0.023814455157549517,-87.407228456389873,reference_failure,15,bull,9570.5100000000002
BTC,long,2018-06-03 08:00:00+00:00,2018-06-03 12:00:00+00:00,7714.8500000000004,7718.7074249999996,2018-06-04 08:00:00+00:00,7597.6999999999998,7593.9011500000006,0.46418862386174736,3582.9361776022015,-0.015177411650630163,3.5539693510814212,3.5539557561563844,-0.017161238533082372,-61.487622392641761,reference_failure,5,sideways,7699
ETH,long,2018-06-03 12:00:00+00:00,2018-06-03 16:00:00+00:00,623.59000000000003,623.90179499999999,2018-06-04 08:00:00+00:00,594.49222253426512,594.19497642299802,6.1463168653369804,3834.6981249225155,-0.046638393572396929,3.7434043649048485,3.7433596538643124,-0.048590767338172934,-186.33092440023796,atr_stop,4,sideways,607.62
BTC,long,2018-07-02 16:00:00+00:00,2018-07-02 20:00:00+00:00,6629,6632.3144999999995,2018-07-04 00:00:00+00:00,6511.0100000000002,6507.7544950000001,0.53095319216384573,3521.4485552095598,-0.01779016963082794,3.4883807890742133,3.4883651272822056,-0.019771384408489582,-69.623913059768455,reference_failure,7,sideways,6528.9899999999998
BTC,long,2018-07-17 20:00:00+00:00,2018-07-18 00:00:00+00:00,7317.4399999999996,7321.098719999999,2018-07-22 00:00:00+00:00,7399.25,7395.5503750000007,0.47148997359098466,3451.8246421497911,0.011174552226226559,3.4693762465746691,3.4693858897227576,0.0091643799678884363,31.633832603181219,time_exit,24,bull,6802.0600000000004
ETH,long,2018-07-17 20:00:00+00:00,2018-07-18 00:00:00+00:00,498.88999999999999,499.13944499999997,2018-07-18 20:00:00+00:00,476.9734397367335,476.73495301686518,7.3093145353845514,3648.3672005222775,-0.043908692215792508,3.5664864610671607,3.5664464123085464,-0.045863795000499766,-167.32796537130096,atr_stop,5,bull,484.5
BTC,long,2018-07-23 12:00:00+00:00,2018-07-23 16:00:00+00:00,7731.5,7735.3657499999999,2018-07-27 16:00:00+00:00,8157.2200000000003,8153.1413900000007,0.45032886450818083,3483.4584747529725,0.055035535973202078,3.5775266895431619,3.5775746180439887,0.052981513696362802,184.5589028908357,time_exit,24,bull,7700
BTC,long,2018-08-22 04:00:00+00:00,2018-08-22 08:00:00+00:00,6654.3400000000001,6657.6671699999997,2018-08-22 16:00:00+00:00,6452.0100000000002,6448.7839950000007,0.55094634261264941,3668.0173776438078,-0.030390524914149463,3.6104756669940241,3.6104477987501533,-0.032359142486616532,-118.6938969665615,reference_failure,2,sideways,6620
BTC,long,2018-08-28 04:00:00+00:00,2018-08-28 08:00:00+00:00,6928.9799999999996,6932.444489999999,2018-08-30 12:00:00+00:00,6873.9899999999998,6870.5530049999998,0.51198729189928882,3549.3234806772462,-0.0079322669051764428,3.5334796537788584,3.5334726152332618,-0.0099233371210880328,-35.2211334505539,reference_failure,13,bull,6882.54
BTC,long,2018-09-01 16:00:00+00:00,2018-09-01 20:00:00+00:00,7250.8199999999997,7254.4454099999994,2018-09-05 08:00:00+00:00,7051.1741696411391,7047.6485825563186,0.48440675318648407,3514.102347226692,-0.027520481453159166,3.4640154573510626,3.4639912799037265,-0.029491968351576432,-103.63779520861006,atr_stop,21,bull,7135
BTC,long,2018-09-21 08:00:00+00:00,2018-09-21 12:00:00+00:00,6742.2299999999996,6745.6011149999995,2018-09-25 00:00:00+00:00,6541.0554971217116,6537.7849693731514,0.50558348972552347,3410.4645520180816,-0.029823065350090452,3.3579303459544176,3.3579049183272409,-0.031792250240256711,-108.42634247328385,atr_stop,21,bull,6584.9899999999998
ETH,long,2018-09-21 16:00:00+00:00,2018-09-21 20:00:00+00:00,246.90000000000001,247.02345,2018-09-24 20:00:00+00:00,228.41735393622724,228.30314525925914,14.091938377311857,3481.0392351509768,-0.074821423082597066,3.3491365447454671,3.3490714306678666,-0.076745620864620306,-267.15451735576471,atr_stop,18,bull,227.58000000000001
BTC,long,2018-10-15 08:00:00+00:00,2018-10-15 12:00:00+00:00,6982.2799999999997,6985.7711399999989,2018-10-15 20:00:00+00:00,6658.9229783636547,6655.5935168744736,0.47268055929252761,3302.0382095447976,-0.046287949484177505,3.2240039377623724,3.2239657266171733,-0.048240673606430598,-159.29254750261308,atr_stop,2,bull,6715.6000000000004
ETH,long,2018-11-04 20:00:00+00:00,2018-11-05 00:00:00+00:00,212.13,212.236065,2018-11-09 00:00:00+00:00,212.78999999999999,212.683605,15.142971661273554,3213.8847177952121,0.0031097448023265821,3.2172732605638554,3.2172757591540733,0.0011076353352103641,3.5598122767225657,time_exit,24,bull,207.47
BTC,long,2018-11-07 04:00:00+00:00,2018-11-07 08:00:00+00:00,6579.3199999999997,6582.6096599999992,2018-11-08 04:00:00+00:00,6511.0699999999997,6507.8144650000004,0.47743156960064753,3142.7456620421844,-0.010368228335750962,3.1248908683684666,3.1248827221917299,-0.012356863199222235,-38.834478215804388,reference_failure,5,bull,6531.3100000000004
BTC,long,2018-12-19 00:00:00+00:00,2018-12-19 04:00:00+00:00,3727.8499999999999,3729.7139249999996,2018-12-23 04:00:00+00:00,3980.9699999999998,3978.979515,0.83221159752255813,3103.9111838263802,0.067865794827682374,3.2076320412570318,3.2076847036064753,0.065798945499553424,204.23408282004632,time_exit,24,sideways,3585
